cityId,searchRadius,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
141945,20000,2,19,1,0,0,5,15,1,1,0,13,37,0,0,0,12,0,0,0,0,0,0,0,0,0,21,21,0,0,0
16745,20000,1,30,0,0,0,10,19,0,1,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0
141860,20000,9,78,1,1,1,29,119,9,18,2,45,298,1,1,5,0,7,0,1,1,0,0,0,0,0,6,6,0,3,1
16273,20000,9,79,1,1,1,30,120,9,18,2,48,308,1,1,5,0,7,0,1,1,0,0,0,0,0,6,6,0,4,1
16721,20000,3,14,0,1,1,15,23,1,3,0,30,48,0,0,1,3,1,0,0,1,0,0,0,0,0,18,18,0,0,0
15975,50000,23,172,1,1,1,40,151,9,18,3,62,415,2,10,7,1,11,0,1,2,0,0,0,0,0,19,19,0,7,1
16558,20000,0,7,0,0,0,0,5,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142047,30000,17,59,1,4,3,3,27,1,0,3,27,74,0,0,2,1,1,0,1,5,0,0,0,0,0,123,123,1,1,0
141737,20000,3,9,0,0,0,1,6,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141696,20000,4,20,0,1,1,1,11,0,0,1,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141705,20000,12,6,0,0,0,0,11,0,0,0,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
141698,20000,10,55,0,1,0,7,16,1,1,0,26,63,0,1,0,2,2,0,0,0,0,0,0,0,0,27,27,0,1,0
16645,20000,15,16,1,1,0,3,13,0,0,1,17,56,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
141544,20000,1,22,0,1,0,3,21,0,2,2,5,29,0,2,0,1,4,0,0,0,0,0,0,0,0,31,31,0,2,0
15656,20000,6,28,0,0,0,6,4,0,0,0,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15782,20000,34,97,0,1,4,73,188,10,26,15,98,377,0,8,14,2,9,1,1,12,0,1,0,0,2,8,8,1,3,0
141464,20000,13,21,1,0,0,4,24,2,2,1,35,94,1,1,2,5,3,0,0,2,0,0,0,0,0,1,1,0,0,0
15322,20000,0,19,1,0,0,0,9,1,1,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141386,20000,0,19,0,0,0,1,12,1,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
142547,20000,2,210,0,1,0,18,106,4,13,0,42,431,17,6,0,1,5,0,1,0,0,0,0,0,0,3,3,3,1,0
16736,20000,2,209,1,1,0,19,115,4,13,0,40,431,17,8,0,1,6,0,1,0,0,0,0,0,0,3,3,3,1,0
17322,20000,31,352,5,8,12,48,405,13,21,0,30,166,0,10,0,18,15,1,6,2,0,0,0,0,1,44,44,0,0,0
17586,20000,6,15,0,0,0,4,50,0,0,0,2,22,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
17261,20000,29,348,4,8,12,48,403,13,23,0,30,168,0,10,0,17,15,1,6,2,0,0,0,0,1,43,43,0,0,0
17255,20000,6,11,0,1,3,5,22,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
17356,50000,40,402,5,8,12,49,402,13,23,0,45,210,0,10,0,22,17,1,6,2,0,0,0,0,1,104,104,1,2,0
17273,20000,13,15,0,0,0,5,20,0,0,0,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,14,14,0,0,0
17173,20000,7,3,0,0,0,2,20,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142657,20000,5,13,0,0,0,0,15,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142627,20000,5,11,0,0,2,5,20,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142628,20000,15,15,0,0,0,4,20,0,0,0,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,13,13,0,0,0
142579,20000,5,21,0,4,0,15,20,0,3,0,4,19,1,1,0,0,1,0,0,0,0,0,0,0,0,7,7,0,1,0
142574,20000,11,61,0,4,1,24,65,1,1,1,8,39,0,1,0,15,11,0,0,0,0,0,0,0,0,25,25,0,0,1
17759,20000,4,20,0,4,0,15,20,0,3,0,4,19,1,1,0,0,1,0,0,0,0,0,0,0,0,7,7,0,1,0
17333,30000,16,69,0,4,2,26,76,1,1,1,10,47,0,2,0,15,11,0,0,0,0,0,0,0,0,59,59,0,0,1
17377,20000,44,69,4,2,0,20,52,9,8,0,38,112,4,14,0,19,11,1,6,0,0,0,0,0,0,5,5,0,1,0
18689,20000,106,154,124,11,96,151,78,95,51,114,37,81,71,34,192,3,2,1,15,476,1,1,4,2,13,55,55,56,78,3
143434,20000,104,156,125,11,95,152,83,95,51,108,37,81,71,34,192,2,1,1,9,484,1,1,4,2,14,55,55,54,81,4
143419,20000,47,29,3,7,9,12,16,1,0,11,28,18,3,11,18,14,3,5,1,37,0,0,0,0,0,24,24,13,45,0
143408,20000,60,112,6,12,27,21,27,1,3,32,44,47,6,58,56,3,11,7,7,46,0,0,0,1,8,2,2,25,9,2
143397,20000,111,79,9,5,77,36,35,9,8,66,50,66,19,12,105,8,5,3,3,383,0,2,0,0,5,12,12,31,18,0
143391,20000,102,90,6,9,43,51,64,4,18,28,82,75,6,27,64,4,6,8,13,266,0,1,0,1,28,9,9,30,16,2
17574,20000,87,100,7,9,44,57,70,4,18,30,67,73,6,32,62,3,7,9,14,264,0,1,0,1,26,9,9,31,16,2
17641,50000,92,150,123,56,51,34,184,77,122,59,34,96,63,62,224,1,1,15,18,445,3,1,2,4,121,65,65,134,180,6
25305,20000,99,276,38,43,38,116,104,29,39,38,48,210,30,45,93,40,30,8,21,394,19,4,5,0,42,32,32,15,29,6
23549,20000,11,160,315,5,8,68,192,74,68,72,24,220,12,20,96,24,25,22,17,404,0,1,0,1,34,26,26,17,17,1
25016,20000,126,115,13,2,68,92,100,25,21,31,36,132,14,8,216,1,3,2,2,488,0,2,0,0,10,24,24,6,8,4
24845,50000,32,291,57,54,56,43,209,68,78,80,57,185,8,63,177,6,14,21,64,373,7,4,3,13,255,38,38,236,43,7
24171,20000,90,230,5,4,15,74,153,7,16,8,24,141,3,26,28,14,5,1,1,31,2,2,0,0,3,35,35,29,20,0
24834,20000,46,394,11,7,31,116,321,23,25,4,86,294,12,37,58,48,24,20,12,384,1,8,5,4,65,20,20,27,26,3
25173,20000,44,410,11,6,26,110,313,21,29,10,88,300,11,35,56,36,22,20,13,396,1,7,3,3,38,17,17,23,23,0
23962,20000,38,157,20,4,42,138,146,43,25,35,81,276,9,24,104,0,4,3,1,490,10,4,0,0,15,11,11,31,37,3
24113,20000,90,83,19,24,14,40,59,34,36,13,56,116,10,43,20,17,21,9,7,40,0,1,0,0,6,13,13,17,9,1
24034,30000,103,162,169,31,22,53,195,31,66,107,45,182,10,30,48,0,5,2,7,471,1,5,0,2,17,53,53,47,32,0
23999,20000,73,228,11,5,182,112,84,14,5,14,20,80,3,7,116,1,4,0,0,494,1,1,0,0,8,6,6,9,10,1
24928,30000,67,363,15,4,42,150,265,24,27,24,66,317,5,18,88,77,62,18,18,298,1,13,15,4,74,26,26,62,86,6
24144,20000,35,208,46,39,41,123,195,33,80,53,17,86,4,29,71,49,39,8,25,345,5,6,3,1,46,34,34,24,16,2
24602,30000,33,432,9,4,18,37,413,19,15,9,54,354,10,23,52,63,42,7,13,357,6,6,0,3,47,42,42,69,26,0
24131,30000,15,421,19,19,23,30,376,25,40,19,57,249,13,58,106,33,50,11,20,271,3,8,0,3,29,68,68,49,16,0
143471,50000,67,364,12,6,33,55,385,23,18,12,51,355,8,17,62,115,76,17,22,231,8,14,1,7,88,46,46,77,23,0
23668,20000,6,394,62,0,38,62,193,79,65,73,26,225,13,21,99,25,20,22,12,413,0,1,0,0,33,23,23,10,15,1
23469,20000,130,55,7,9,9,84,68,18,17,7,32,78,14,47,40,13,17,3,7,43,0,3,0,0,6,11,11,5,5,1
23664,30000,76,375,10,6,30,55,342,28,28,34,59,296,7,43,83,9,7,4,5,440,4,13,3,4,69,46,46,65,34,0
23295,30000,10,50,17,10,11,118,207,68,64,33,46,302,14,42,87,35,49,19,74,305,2,5,0,0,32,32,32,20,51,7
23559,20000,256,176,20,19,7,136,177,10,24,3,59,183,21,35,23,27,17,8,30,8,0,0,2,1,1,14,14,28,18,1
143470,50000,292,132,35,19,7,241,208,24,16,5,166,280,16,12,16,44,53,22,37,21,1,10,3,2,5,10,10,28,20,0
23119,20000,88,365,9,5,28,106,313,24,26,17,76,289,11,41,71,21,13,7,5,438,1,5,2,2,40,21,21,19,23,0
