countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
CA,CITY,Bedford,10879,Quebec,QC,45.11678,-72.98244,2684,53,America__Toronto
CA,CITY,Behchokǫ̀,11765,Northwest Territories,NT,62.8025,-116.04639,1926,7,America__Yellowknife
CA,CITY,Belfast,10408,Prince Edward Island,PE,46.08341,-62.88197,1839,,America__Halifax
CA,CITY,Belleville,9983,Ontario,ON,44.16682,-77.38277,49454,,America__Toronto
CA,CITY,Bells Corners,10046,Ontario,ON,45.31588,-75.83012,9977,90,America__Toronto
CA,CITY,Belmont,1219638,Ontario,ON,42.88339,-81.08303,1140,,America__Toronto
CA,CITY,Beloeil,10425,Quebec,QC,45.56839,-73.20568,18927,14,America__Toronto
CA,CITY,Berthierville,10822,Quebec,QC,46.08336,-73.18245,4411,,America__Toronto
CA,CITY,Berwick,10368,Nova Scotia,NS,45.05015,-64.73208,2271,43,America__Halifax
CA,CITY,Biggar,10136,Saskatchewan,SK,52.0668,-108.00135,2068,,America__Regina
CA,CITY,Binbrook,10254,Ontario,ON,43.12135,-79.81104,8796,,America__Toronto
CA,CITY,Black Diamond,10497,Alberta,AB,50.70011,-114.2353,3663,1159,America__Edmonton
CA,CITY,Blackfalds,10648,Alberta,AB,52.38342,-113.7853,3198,880,America__Edmonton
CA,CITY,Blainville,10353,Quebec,QC,45.66678,-73.88249,46493,,America__Toronto
CA,CITY,Bluewater,10351,Ontario,ON,43.46679,-81.59977,7044,,America__Toronto
CA,CITY,Bois-des-Filion,10424,Quebec,QC,45.66678,-73.74918,8383,,America__Toronto
CA,CITY,Boisbriand,10244,Quebec,QC,45.61678,-73.83249,26483,,America__Toronto
CA,CITY,Boissevain,10617,Manitoba,MB,49.23062,-100.05586,1557,,America__Winnipeg
CA,CITY,Bon Accord,10247,Alberta,AB,53.83345,-113.41872,1611,625,America__Edmonton
CA,CITY,Bonaventure,11373,Quebec,QC,48.04573,-65.49259,2673,,America__Toronto
CA,CITY,Bonavista,10658,Newfoundland and Labrador,NL,48.64989,-53.11474,3658,,America__St_Johns
CA,CITY,Bonnyville,10304,Alberta,AB,54.26684,-110.73505,6003,564,America__Edmonton
CA,CITY,Botwood,10079,Newfoundland and Labrador,NL,49.14994,-55.34819,2940,41,America__St_Johns
CA,CITY,Boucherville,10517,Quebec,QC,45.59104,-73.43605,39062,,America__Toronto
CA,CITY,Bouctouche,10872,New Brunswick,NB,46.46844,-64.73905,1895,,America__Moncton
CA,CITY,Bourget,10334,Ontario,ON,45.4334,-75.1493,1169,,America__Toronto
CA,CITY,Bow Island,10090,Alberta,AB,49.86676,-111.36843,2025,799,America__Edmonton
CA,CITY,Bowen Island,10805,British Columbia,BC,49.3847,-123.33622,3551,,America__Vancouver
CA,CITY,Bracebridge,10508,Ontario,ON,45.03341,-79.31633,8238,,America__Toronto
CA,CITY,Brampton,10813,Ontario,ON,43.68341,-79.76633,433806,218,America__Toronto
CA,CITY,Brandon,10283,Manitoba,MB,49.84692,-99.95306,26234,409,America__Winnipeg
CA,CITY,Brant,9981,Ontario,ON,43.1334,-80.34967,34415,,America__Toronto
CA,CITY,Brantford,10881,Ontario,ON,43.1334,-80.26636,87759,248,America__Toronto
CA,CITY,Breakeyville,11052,Quebec,QC,46.68037,-71.22327,5000,101,America__Toronto
CA,CITY,Bridgewater,10235,Nova Scotia,NS,44.37856,-64.51882,8070,22,America__Halifax
CA,CITY,Brockville,9961,Ontario,ON,44.59132,-75.68705,23886,,America__Toronto
CA,CITY,Bromont,10530,Quebec,QC,45.31678,-72.64912,3895,139,America__Toronto
CA,CITY,Brooks,10461,Alberta,AB,50.58341,-111.88509,12744,760,America__Edmonton
CA,CITY,Brossard,10587,Quebec,QC,45.45008,-73.46583,69575,,America__Toronto
CA,CITY,Brownsburg-Chatham,10143,Quebec,QC,45.68342,-74.4159,6664,,America__Toronto
CA,CITY,Brussels,1219642,Ontario,ON,43.73339,-81.24975,1158,,America__Toronto
CA,CITY,Buckingham,1209104,Quebec,QC,45.58563,-75.4208,16685,,America__Toronto
CA,CITY,Burford,1240788,Ontario,ON,43.10292,-80.42869,1615,,America__Toronto
CA,CITY,Burgeo,10300,Newfoundland and Labrador,NL,47.61668,-57.61516,1627,,America__St_Johns
CA,CITY,Burlington,10485,Ontario,ON,43.38621,-79.83713,164415,74,America__Toronto
CA,CITY,Burnaby,10806,British Columbia,BC,49.26636,-122.95263,202799,370,America__Vancouver
CA,CITY,Burns Lake,9993,British Columbia,BC,54.22972,-125.76084,2635,720,America__Vancouver
CA,CITY,Bécancour,10045,Quebec,QC,46.34106,-72.43224,11134,,America__Toronto
CA,CITY,Cabano,11075,Quebec,QC,47.68065,-68.8781,3199,,America__Toronto
CA,CITY,Cache Creek,10456,British Columbia,BC,50.81011,-121.3246,1061,396,America__Vancouver
CA,CITY,Cacouna,11093,Quebec,QC,47.91657,-69.50054,1939,,America__Toronto
CA,CITY,Calgary,10509,Alberta,AB,51.05011,-114.08529,1019942,1048,America__Edmonton
CA,CITY,Calmar,10199,Alberta,AB,53.26683,-113.81874,2000,730,America__Edmonton
CA,CITY,Cambridge,10765,Ontario,ON,43.3601,-80.31269,120372,329,America__Toronto
CA,CITY,Camlachie,10148,Ontario,ON,43.03596,-82.1616,7506,,America__Toronto
CA,CITY,Campbell River,10486,British Columbia,BC,50.01634,-125.24459,33430,24,America__Vancouver
CA,CITY,Campbellton,11460,New Brunswick,NB,48.00751,-66.67272,7384,148,America__Moncton
CA,CITY,Camrose,10850,Alberta,AB,53.01684,-112.83525,15686,740,America__Edmonton
CA,CITY,Candiac,10056,Quebec,QC,45.38338,-73.51587,15947,,America__Toronto
CA,CITY,Canmore,10661,Alberta,AB,51.08335,-115.35206,12288,1375,America__Edmonton
CA,CITY,Canora,10147,Saskatchewan,SK,51.63328,-102.43425,2055,487,America__Regina
CA,CITY,Cantley,10564,Quebec,QC,45.5668,-75.78265,10412,,America__Toronto
CA,CITY,Cap-Chat,10406,Quebec,QC,49.09736,-66.68514,1466,,America__Toronto
CA,CITY,Cap-Santé,11524,Quebec,QC,46.67159,-71.78812,2666,,America__Toronto
CA,ADM2,Cape Breton County,139979,Nova Scotia,NS,46.00014,-60.31516,147000,,America__Glace_Bay
CA,ADM2,Capitale-Nationale,140204,Quebec,QC,47.376,-71.12337,70000,,America__Toronto
CA,CITY,Capreol,1219633,Ontario,ON,46.70626,-80.92109,2815,,America__Toronto
CA,CITY,Carberry,10736,Manitoba,MB,49.86893,-99.36021,1575,409,America__Winnipeg
CA,CITY,Carbonear,10210,Newfoundland and Labrador,NL,47.73319,-53.21478,6814,34,America__St_Johns
CA,CITY,Cardston,10074,Alberta,AB,49.19998,-113.3019,3654,1130,America__Edmonton
CA,CITY,Carignan,10348,Quebec,QC,45.45008,-73.29916,7426,,America__Toronto
CA,CITY,Carleton,1209085,Quebec,QC,48.09838,-66.10036,1101,,America__Toronto
CA,CITY,Carleton Place,10708,Ontario,ON,45.13341,-76.14938,9743,,America__Toronto
CA,CITY,Carleton-sur-Mer,11392,Quebec,QC,48.10749,-66.128,4077,,America__Toronto
CA,CITY,Carlyle,10579,Saskatchewan,SK,49.63334,-102.26765,1177,,America__Regina
CA,CITY,Carman,10400,Manitoba,MB,49.4992,-98.00156,2948,880,America__Winnipeg
CA,CITY,Carstairs,10870,Alberta,AB,51.56681,-114.102,2370,1060,America__Edmonton
CA,CITY,Casselman,10704,Ontario,ON,45.3168,-75.0826,3074,,America__Toronto
CA,CITY,Castlegar,10845,British Columbia,BC,49.32317,-117.65831,8715,450,America__Vancouver
CA,CITY,Catalina,10429,Newfoundland and Labrador,NL,48.51659,-53.08135,1352,,America__St_Johns
CA,CITY,Cedar,1219636,British Columbia,BC,49.11633,-123.8527,2836,,America__Vancouver
CA,ADM2,Central Coast Regional District,139985,British Columbia,BC,52.16638,-127.00323,3319,,America__Vancouver
CA,ADM2,Centre-du-Québec,140210,Quebec,QC,46.01985,-71.98242,234000,,America__Toronto
CA,CITY,Chambly,10598,Quebec,QC,45.45008,-73.28246,22608,,America__Toronto
CA,CITY,Chambord,10287,Quebec,QC,48.43339,-72.06583,1773,,America__Toronto
CA,CITY,Chandler,11317,Quebec,QC,48.34935,-64.67926,7914,,America__Toronto
CA,CITY,Channel-Port aux Basques,10327,Newfoundland and Labrador,NL,47.57286,-59.13808,4220,23,America__St_Johns
CA,CITY,Chapais,10739,Quebec,QC,49.78344,-74.84919,1824,,America__Toronto
CA,CITY,Charlemagne,10088,Quebec,QC,45.71678,-73.48247,5594,,America__Toronto
CA,CITY,Charlottetown,10880,Prince Edward Island,PE,46.23459,-63.1256,42402,49,America__Halifax
CA,CITY,Chase,10590,British Columbia,BC,50.8165,-119.68571,2471,380,America__Vancouver
CA,CITY,Chatham,10160,Ontario,ON,42.41224,-82.18494,43550,,America__Toronto
CA,CITY,Chatham-Kent,139987,Ontario,ON,42.40009,-82.1831,108589,,America__Toronto
CA,ADM2,Chaudière-Appalaches,140205,Quebec,QC,46.555,-70.8308,410000,,America__Toronto
CA,CITY,Chemainus,1209046,British Columbia,BC,48.91633,-123.71937,3021,,America__Vancouver
CA,CITY,Chertsey,9987,Quebec,QC,46.07109,-73.89095,4836,,America__Toronto
CA,CITY,Chester,10213,Nova Scotia,NS,44.54225,-64.23891,1531,17,America__Halifax
CA,CITY,Chestermere,10896,Alberta,AB,51.03341,-113.81867,3590,1030,America__Edmonton
CA,CITY,Chetwynd,10211,British Columbia,BC,55.69988,-121.63627,2587,615,America__Dawson_Creek
CA,CITY,Chibougamau,10434,Quebec,QC,49.91684,-74.36586,7563,,America__Toronto
CA,CITY,Chilliwack,10929,British Columbia,BC,49.16638,-121.95257,77000,10,America__Vancouver
CA,CITY,Chute-aux-Outardes,10643,Quebec,QC,49.11679,-68.39896,2000,,America__Toronto
CA,CITY,Château-Richer,10127,Quebec,QC,46.96031,-71.03219,3563,,America__Toronto
CA,CITY,Châteauguay,10909,Quebec,QC,45.38338,-73.74919,42786,,America__Toronto
CA,CITY,Clarence-Rockland,10336,Ontario,ON,45.5501,-75.29101,20790,,America__Toronto
CA,CITY,Clarenville-Shoal Harbour,10917,Newfoundland and Labrador,NL,48.1805,-53.96982,3478,,America__St_Johns
CA,CITY,Claresholm,10846,Alberta,AB,50.03332,-113.58524,3808,1030,America__Edmonton
CA,CITY,Clyde River,10842,Nunavut,NU,70.47233,-68.58987,1017,27,America__Iqaluit
CA,CITY,Coaldale,10151,Alberta,AB,49.7167,-112.61854,6317,863,America__Edmonton
CA,CITY,Coalhurst,10266,Alberta,AB,49.7464,-112.93246,1552,,America__Edmonton
CA,CITY,Coaticook,10295,Quebec,QC,45.13339,-71.79907,7021,,America__Toronto
CA,CITY,Cobourg,10804,Ontario,ON,43.95977,-78.16515,18099,173,America__Toronto
CA,CITY,Cochrane,10195,Alberta,AB,51.18341,-114.46871,16365,1159,America__Edmonton
CA,ADM2,Cochrane District,139991,Ontario,ON,50.00022,-82.99979,82503,,America__Toronto
CA,ADM2,Colchester,139989,Nova Scotia,NS,45.33345,-63.24868,50000,,America__Halifax
CA,CITY,Cold Lake,10118,Alberta,AB,54.46525,-110.18154,11595,540,America__Edmonton
CA,CITY,Cole Harbour,11340,Nova Scotia,NS,44.67244,-63.47506,20000,50,America__Halifax
CA,CITY,Collingwood,10504,Ontario,ON,44.4834,-80.21638,15809,,America__Toronto
CA,CITY,Colwood,10035,British Columbia,BC,48.43293,-123.48591,14687,80,America__Vancouver
CA,CITY,Conception Bay South,10633,Newfoundland and Labrador,NL,47.49989,-52.99806,17087,14,America__St_Johns
CA,CITY,Concord,10293,Ontario,ON,43.80011,-79.48291,8255,,America__Toronto
CA,CITY,Constance Bay,1230217,Ontario,ON,45.50011,-76.08267,2314,,America__Toronto
CA,CITY,Contrecoeur,10416,Quebec,QC,45.85008,-73.23245,3587,,America__Toronto
CA,CITY,Cookshire,1230218,Quebec,QC,45.41536,-71.62962,1021,,America__Toronto
CA,CITY,Cookshire-Eaton,10267,Quebec,QC,45.41675,-71.6324,1568,,America__Toronto
CA,CITY,Cookstown,1219645,Ontario,ON,44.18341,-79.69964,1214,,America__Toronto
CA,CITY,Coombs,1240791,British Columbia,BC,49.29963,-124.41946,1612,,America__Vancouver
CA,CITY,Coquitlam,10153,British Columbia,BC,49.2846,-122.78217,140000,24,America__Vancouver
CA,CITY,Corner Brook,10791,Newfoundland and Labrador,NL,48.95001,-57.95202,18693,304,America__St_Johns
CA,CITY,Cornwall,9940,Ontario,ON,45.01809,-74.72815,48821,64,America__Toronto
CA,CITY,Cornwall,10892,Prince Edward Island,PE,46.22652,-63.21809,2272,27,America__Halifax
CA,CITY,Corunna,1219639,Ontario,ON,42.88338,-82.43313,5686,,America__Toronto
CA,CITY,Coteau-du-Lac,1261872,Quebec,QC,45.30008,-74.18253,7044,,America__Toronto
CA,CITY,Courtenay,10727,British Columbia,BC,49.68657,-124.9936,32793,13,America__Vancouver
CA,CITY,Cow Bay,1240795,Nova Scotia,NS,44.63141,-63.43218,1257,,America__Halifax
CA,CITY,Cowansville,10055,Quebec,QC,45.20008,-72.74913,10887,,America__Toronto
CA,CITY,Cowichan Bay,1209089,British Columbia,BC,48.73366,-123.61739,2394,,America__Vancouver
CA,CITY,Crabtree,10533,Quebec,QC,45.96677,-73.46586,2248,,America__Toronto
CA,CITY,Cranbrook,10155,British Columbia,BC,49.49991,-115.76879,18610,921,America__Edmonton
CA,CITY,Creston,9955,British Columbia,BC,49.09987,-116.50211,4816,597,America__Creston
CA,CITY,Cross Lake 19A,1219653,Manitoba,MB,54.65135,-97.76848,2018,,America__Winnipeg
CA,CITY,Crossfield,10560,Alberta,AB,51.43341,-114.03528,2512,1113,America__Edmonton
CA,CITY,Cumberland,10192,British Columbia,BC,49.61634,-125.03613,2630,160,America__Vancouver
CA,ADM2,Côte-Nord,140010,Quebec,QC,50.86683,-65.81541,95000,,America__Toronto
CA,CITY,Côte-Saint-Luc,10101,Quebec,QC,45.46536,-73.66585,31395,,America__Toronto
CA,CITY,Dalmeny,10481,Saskatchewan,SK,52.33339,-106.76792,1504,,America__Regina
CA,CITY,Danville,10201,Quebec,QC,45.78337,-72.0158,1761,,America__Toronto
CA,CITY,Dartmouth,10714,Nova Scotia,NS,44.67134,-63.57719,101343,113,America__Halifax
CA,CITY,Dauphin,10695,Manitoba,MB,51.14941,-100.05023,8418,268,America__Winnipeg
CA,CITY,Daveluyville,10527,Quebec,QC,46.20006,-72.13239,1318,,America__Toronto
CA,CITY,Dawson City,11301,Yukon,YT,64.06013,-139.43328,1319,370,America__Dawson
CA,CITY,Dawson Creek,10645,British Columbia,BC,55.75984,-120.2403,10802,665,America__Dawson_Creek
CA,ADM2,De Salaberry,140015,Manitoba,MB,49.39999,-97.00894,3580,,America__Winnipeg
CA,CITY,Deep River,10196,Ontario,ON,46.10012,-77.49949,4296,,America__Toronto
CA,CITY,Deer Lake,10691,Newfoundland and Labrador,NL,49.16671,-57.43163,4602,30,America__St_Johns
CA,CITY,Delaware,10309,Ontario,ON,42.91679,-81.41646,2521,,America__Toronto
CA,CITY,Deloraine,10614,Manitoba,MB,49.19082,-100.49477,1068,,America__Winnipeg
CA,CITY,Delson,10448,Quebec,QC,45.36678,-73.54917,7322,,America__Toronto
CA,CITY,Delta,10552,British Columbia,BC,49.14399,-122.9068,101668,,America__Vancouver
CA,CITY,Denman Island,10091,British Columbia,BC,49.53294,-124.8195,1020,,America__Vancouver
CA,CITY,Denman Island Trust Area,1240819,British Columbia,BC,49.55189,-124.79881,1165,,America__Vancouver
CA,CITY,Deseronto,10258,Ontario,ON,44.20012,-77.04944,1897,,America__Toronto
CA,CITY,Deux-Montagnes,10239,Quebec,QC,45.53455,-73.90168,17402,,America__Toronto
CA,CITY,Devon,10811,Alberta,AB,53.36683,-113.73533,5225,709,America__Edmonton
CA,CITY,Didsbury,10185,Alberta,AB,51.66681,-114.13529,4134,1037,America__Edmonton
CA,CITY,Dieppe,10884,New Brunswick,NB,46.07844,-64.68735,18565,,America__Moncton
CA,CITY,Digby,10034,Nova Scotia,NS,44.62188,-65.7586,2052,,America__Halifax
CA,ADM2,Digby County,140016,Nova Scotia,NS,44.36685,-65.69884,18992,,America__Halifax
CA,CITY,Disraeli,1209055,Quebec,QC,45.90007,-71.34907,2212,,America__Toronto
CA,CITY,Dolbeau-Mistassini,10418,Quebec,QC,48.8786,-72.23142,12916,,America__Toronto
CA,CITY,Dollard-Des Ormeaux,10828,Quebec,QC,45.49452,-73.82419,48930,,America__Toronto
CA,CITY,Donnacona,11197,Quebec,QC,46.68042,-71.7239,5564,,America__Toronto
CA,CITY,Dorchester,10066,Ontario,ON,42.98339,-81.06643,9329,,America__Toronto
CA,CITY,Dorval,10442,Quebec,QC,45.4473,-73.75335,18088,,America__Toronto
CA,CITY,Dowling,1209053,Ontario,ON,46.59111,-81.33917,1466,,America__Toronto
CA,CITY,Drayton Valley,10070,Alberta,AB,53.21682,-114.98544,6099,869,America__Edmonton
CA,CITY,Drummondville,10236,Quebec,QC,45.88336,-72.48241,59489,365,America__Toronto
CA,CITY,Dryden,10081,Ontario,ON,49.78334,-92.75032,8195,,America__Winnipeg
CA,CITY,Duck Lake,1219667,British Columbia,BC,50.0088,-119.39672,6982,,America__Vancouver
CA,CITY,Duncan,10161,British Columbia,BC,48.78293,-123.70266,22199,20,America__Vancouver
CA,CITY,Dunham,10273,Quebec,QC,45.13338,-72.79913,3471,,America__Toronto
CA,ADM2,Durham,140019,Ontario,ON,44.20012,-78.99957,608124,,America__Toronto
