countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
IN,CITY,Murādnagar,55046,Uttar Pradesh,UP,28.78069,77.49865,89482,215,Asia__Kolkata
IN,CITY,Mushābani,55296,Jharkhand,JH,22.51135,86.45713,32761,160,Asia__Kolkata
IN,CITY,Musiri,55068,Tamil Nadu,TN,10.95299,78.44427,30209,82,Asia__Kolkata
IN,CITY,Mussoorie,55542,Uttarakhand,UT,30.45498,78.07068,25753,1825,Asia__Kolkata
IN,CITY,Mustafābād,54805,Haryana,HR,30.2022,77.14873,8974,256,Asia__Kolkata
IN,CITY,Musāfir-Khāna,55490,Uttar Pradesh,UP,26.37837,81.79607,8081,102,Asia__Kolkata
IN,CITY,Muttupet,55354,Tamil Nadu,TN,10.39505,79.49353,21568,,Asia__Kolkata
IN,CITY,Muvattupuzha,56911,Kerala,KL,9.97985,76.57381,29246,15,Asia__Kolkata
IN,ADM2,Muzaffarnagar,147502,Uttar Pradesh,UP,29.45,77.58333,4143512,,Asia__Kolkata
IN,ADM2,Muzaffarpur,147510,Bihar,BR,26.16667,85.41667,4801062,,Asia__Kolkata
IN,ADM2,Mysore,147512,Karnataka,KA,12.23,76.42,3001127,,Asia__Kolkata
IN,CITY,Māchalpur,55763,Madhya Pradesh,MP,24.12767,76.31672,8556,389,Asia__Kolkata
IN,CITY,Mācherla,55299,Andhra Pradesh,AP,16.47635,79.43533,51039,136,Asia__Kolkata
IN,CITY,Māchhīwāra,55540,Punjab,PB,30.91557,76.20016,20447,262,Asia__Kolkata
IN,CITY,Mādhoganj,55101,Uttar Pradesh,UP,27.11807,80.14058,10299,131,Asia__Kolkata
IN,CITY,Mādhogarh,55004,Uttar Pradesh,UP,26.27522,79.1859,10530,142,Asia__Kolkata
IN,CITY,Mādugula,55049,Andhra Pradesh,AP,17.91589,82.81578,14741,83,Asia__Kolkata
IN,CITY,Māgadi,55365,Karnataka,KA,12.95706,77.22374,27213,,Asia__Kolkata
IN,CITY,Māgām,55085,Jammu and Kashmir,JK,34.09256,74.59016,4690,,Asia__Kolkata
IN,CITY,Mājalgaon,55349,Maharashtra,MH,19.15988,76.20832,47845,413,Asia__Kolkata
IN,CITY,Mākhjan,54786,Maharashtra,MH,17.2698,73.50031,10000,,Asia__Kolkata
IN,CITY,Mākum,54988,Assam,AS,27.48652,95.43646,16225,122,Asia__Kolkata
IN,ADM2,Māldah,147529,West Bengal,WB,25.0,88.0,3988845,,Asia__Kolkata
IN,CITY,Mālegaon,55689,Maharashtra,MH,20.54966,74.53462,435362,,Asia__Kolkata
IN,CITY,Māler Kotla,55454,Punjab,PB,30.5309,75.87949,113840,242,Asia__Kolkata
IN,CITY,Māllūr,54784,Tamil Nadu,TN,11.54424,78.14078,10524,293,Asia__Kolkata
IN,CITY,Mālpur,54979,Gujarat,GJ,23.36035,73.46595,6971,4,Asia__Kolkata
IN,CITY,Mālpura,55497,Rajasthan,RJ,26.2838,75.36458,28600,332,Asia__Kolkata
IN,CITY,Mālvan,55751,Maharashtra,MH,16.05981,73.4629,18858,5,Asia__Kolkata
IN,CITY,Mālūr,54906,Karnataka,KA,13.00322,77.93798,30677,909,Asia__Kolkata
IN,CITY,Māndal,55253,Rajasthan,RJ,25.44126,74.56979,23478,,Asia__Kolkata
IN,CITY,Māndal,55401,Gujarat,GJ,23.28865,71.91854,13345,,Asia__Kolkata
IN,CITY,Māndalgarh,55303,Rajasthan,RJ,25.19407,75.07215,21569,382,Asia__Kolkata
IN,CITY,Māndleshwar,54870,Madhya Pradesh,MP,22.17598,75.65995,12049,153,Asia__Kolkata
IN,CITY,Māndvi,55405,Gujarat,GJ,22.83282,69.35237,47853,15,Asia__Kolkata
IN,CITY,Māngrol,55337,Gujarat,GJ,21.12268,70.11484,58989,18,Asia__Kolkata
IN,CITY,Māngrol,55594,Rajasthan,RJ,25.33061,76.50973,23896,242,Asia__Kolkata
