id,date,prcp,tmin
BRM00083344,2013-10-20,89,158
BRM00083344,2013-10-21,61,158
BRM00083344,2013-10-22,0,156
BRM00083344,2013-10-23,NA,140
BRM00083344,2013-10-24,NA,130
BRM00083344,2013-10-25,NA,114
BRM00083344,2013-10-26,NA,134
BRM00083344,2013-10-27,NA,108
BRM00083344,2013-10-28,NA,154
BRM00083344,2013-10-29,NA,171
BRM00083344,2013-10-30,NA,156
BRM00083344,2013-10-31,5,165
BRM00083344,2013-11-01,10,171
BRM00083344,2013-11-02,10,148
BRM00083344,2013-11-03,20,130
BRM00083344,2013-11-04,0,118
BRM00083344,2013-11-05,NA,144
BRM00083344,2013-11-06,NA,183
BRM00083344,2013-11-07,NA,161
BRM00083344,2013-11-08,NA,150
BRM00083344,2013-11-09,NA,169
BRM00083344,2013-11-10,3,175
BRM00083344,2013-11-11,0,167
BRM00083344,2013-11-12,NA,152
BRM00083344,2013-11-13,NA,156
BRM00083344,2013-11-14,NA,150
BRM00083344,2013-11-15,NA,NA
BRM00083344,2013-11-16,NA,NA
BRM00083344,2013-11-17,NA,NA
BRM00083344,2013-11-18,NA,NA
BRM00083344,2013-11-19,NA,169
BRM00083344,2013-11-20,NA,150
BRM00083344,2013-11-21,NA,130
BRM00083344,2013-11-22,NA,130
BRM00083344,2013-11-23,NA,144
BRM00083344,2013-11-24,20,152
BRM00083344,2013-11-25,0,167
BRM00083344,2013-11-26,NA,173
BRM00083344,2013-11-27,109,163
BRM00083344,2013-11-28,71,173
BRM00083344,2013-11-29,71,159
BRM00083344,2013-11-30,10,159
BRM00083344,2013-12-01,0,154
BRM00083344,2013-12-02,NA,146
BRM00083344,2013-12-03,NA,157
BRM00083344,2013-12-04,NA,158
BRM00083344,2013-12-05,41,179
BRM00083344,2013-12-06,109,169
BRM00083344,2013-12-07,109,169
BRM00083344,2013-12-08,269,173
BRM00083344,2013-12-09,51,173
BRM00083344,2013-12-10,0,163
BRM00083344,2013-12-11,NA,167
BRM00083344,2013-12-12,NA,184
BRM00083344,2013-12-13,221,175
BRM00083344,2013-12-14,10,183
BRM00083344,2013-12-15,0,186
BRM00083344,2013-12-16,10,177
BRM00083344,2013-12-17,20,177
BRM00083344,2013-12-18,160,177
BRM00083344,2013-12-19,30,176
BRM00083344,2013-12-20,160,175
BRM00083344,2013-12-21,140,175
BRM00083344,2013-12-22,490,169
BRM00083344,2013-12-23,61,NA
BRM00083344,2013-12-24,89,165
BRM00083344,2013-12-25,3,166
BRM00083344,2013-12-26,381,183
BRM00083344,2013-12-27,89,171
BRM00083344,2013-12-28,0,171
BRM00083344,2013-12-29,10,161
BRM00083344,2013-12-30,0,154
BRM00083344,2013-12-31,NA,152
BRM00083344,2014-01-01,NA,152
BRM00083344,2014-01-02,NA,152
BRM00083344,2014-01-03,NA,143
BRM00083344,2014-01-04,NA,152
BRM00083344,2014-01-05,NA,146
BRM00083344,2014-01-06,NA,NA
BRM00083344,2014-01-07,NA,140
BRM00083344,2014-01-08,10,164
BRM00083344,2014-01-09,79,160
BRM00083344,2014-01-10,20,142
BRM00083344,2014-01-11,0,167
BRM00083344,2014-01-12,10,158
BRM00083344,2014-01-13,5,167
BRM00083344,2014-01-14,0,159
BRM00083344,2014-01-15,NA,159
BRM00083344,2014-01-16,NA,158
BRM00083344,2014-01-17,NA,148
BRM00083344,2014-01-18,NA,167
BRM00083344,2014-01-19,NA,176
BRM00083344,2014-01-20,3,183
BRM00083344,2014-01-21,310,165
BRM00083344,2014-01-22,5,152
BRM00083344,2014-01-23,5,146
BRM00083344,2014-01-24,0,145
BRM00083344,2014-01-25,NA,138
BRM00083344,2014-01-26,NA,148
BRM00083344,2014-01-27,NA,146
BRM00083344,2014-01-28,30,136
BRM00083344,2014-01-29,51,144
BRM00083344,2014-01-30,51,163
BRM00083344,2014-01-31,10,144
BRM00083344,2014-02-01,10,154
BRM00083344,2014-02-02,0,130
BRM00083344,2014-02-03,8,143
BRM00083344,2014-02-04,0,144
BRM00083344,2014-02-05,119,156
BRM00083344,2014-02-06,71,152
BRM00083344,2014-02-07,5,162
BRM00083344,2014-02-08,0,142
BRM00083344,2014-02-09,NA,146
BRM00083344,2014-02-10,NA,144
BRM00083344,2014-02-11,NA,NA
BRM00083344,2014-02-12,61,146
BRM00083344,2014-02-13,61,142
BRM00083344,2014-02-14,0,157
BRM00083344,2014-02-15,NA,NA
BRM00083344,2014-02-16,NA,152
BRM00083344,2014-02-17,NA,152
BRM00083344,2014-02-18,NA,145
BRM00083344,2014-02-19,NA,164
BRM00083344,2014-02-20,NA,130
BRM00083344,2014-02-21,10,150
BRM00083344,2014-02-22,0,154
BRM00083344,2014-02-23,NA,158
BRM00083344,2014-02-24,NA,165
BRM00083344,2014-02-25,NA,153
BRM00083344,2014-02-26,NA,150
BRM00083344,2014-02-27,3,145
BRM00083344,2014-02-28,3,161
BRM00083344,2014-03-01,0,167
BRM00083344,2014-03-02,51,169
BRM00083344,2014-03-03,3,160
BRM00083344,2014-03-04,79,167
BRM00083344,2014-03-05,8,150
BRM00083344,2014-03-06,5,146
BRM00083344,2014-03-07,0,150
BRM00083344,2014-03-08,NA,156
BRM00083344,2014-03-09,NA,163
BRM00083344,2014-03-10,NA,146
BRM00083344,2014-03-11,NA,156
BRM00083344,2014-03-12,3,146
BRM00083344,2014-03-13,0,158
BRM00083344,2014-03-14,41,152
BRM00083344,2014-03-15,5,150
BRM00083344,2014-03-16,79,154
BRM00083344,2014-03-17,0,152
BRM00083344,2014-03-18,3,163
BRM00083344,2014-03-19,0,158
BRM00083344,2014-03-20,10,159
BRM00083344,2014-03-21,0,161
BRM00083344,2014-03-22,NA,167
BRM00083344,2014-03-23,NA,169
BRM00083344,2014-03-24,NA,167
BRM00083344,2014-03-25,3,169
BRM00083344,2014-03-26,0,175
BRM00083344,2014-03-27,30,175
BRM00083344,2014-03-28,30,161
BRM00083344,2014-03-29,0,167
BRM00083344,2014-03-30,10,163
BRM00083344,2014-03-31,0,160
BRM00083344,2014-04-01,NA,NA
BRM00083344,2014-04-02,NA,161
BRM00083344,2014-04-03,NA,160
BRM00083344,2014-04-04,NA,164
BRM00083344,2014-04-05,231,156
BRM00083344,2014-04-06,30,171
BRM00083344,2014-04-07,0,163
BRM00083344,2014-04-08,NA,160
BRM00083344,2014-04-09,NA,152
BRM00083344,2014-04-10,NA,162
BRM00083344,2014-04-11,NA,161
BRM00083344,2014-04-12,NA,NA
BRM00083344,2014-04-13,NA,150
BRM00083344,2014-04-14,NA,173
BRM00083344,2014-04-15,3,189
BRM00083344,2014-04-16,0,134
BRM00083344,2014-04-17,NA,134
BRM00083344,2014-04-18,NA,169
BRM00083344,2014-04-19,NA,169
BRM00083344,2014-04-20,NA,144
BRM00083344,2014-04-21,NA,158
BRM00083344,2014-04-22,NA,144
BRM00083344,2014-04-23,NA,138
BRM00083344,2014-04-24,NA,152
BRM00083344,2014-04-25,NA,144
BRM00083344,2014-04-26,30,156
BRM00083344,2014-04-27,5,154
BRM00083344,2014-04-28,0,130
BRM00083344,2014-04-29,NA,132
BRM00083344,2014-04-30,NA,128
BRM00083344,2014-05-01,NA,124
BRM00083344,2014-05-02,NA,120
BRM00083344,2014-05-03,NA,154
BRM00083344,2014-05-04,NA,144
BRM00083344,2014-05-05,10,142
BRM00083344,2014-05-06,0,150
BRM00083344,2014-05-07,20,159
BRM00083344,2014-05-08,119,150
BRM00083344,2014-05-09,0,135
BRM00083344,2014-05-10,NA,134
BRM00083344,2014-05-11,3,154
BRM00083344,2014-05-12,0,130
BRM00083344,2014-05-13,0,82
BRM00083344,2014-05-14,0,130
BRM00083344,2014-05-15,NA,128
BRM00083344,2014-05-16,NA,165
BRM00083344,2014-05-17,NA,171
BRM00083344,2014-05-18,NA,156
BRM00083344,2014-05-19,NA,152
BRM00083344,2014-05-20,NA,112
BRM00083344,2014-05-21,NA,134
BRM00083344,2014-05-22,NA,110
BRM00083344,2014-05-23,NA,161
BRM00083344,2014-05-24,NA,156
BRM00083344,2014-05-25,NA,165
BRM00083344,2014-05-26,NA,150
BRM00083344,2014-05-27,NA,140
BRM00083344,2014-05-28,NA,142
BRM00083344,2014-05-29,NA,140
BRM00083344,2014-05-30,NA,150
BRM00083344,2014-05-31,NA,136
BRM00083344,2014-06-01,NA,122
BRM00083344,2014-06-02,NA,110
BRM00083344,2014-06-03,NA,153
BRM00083344,2014-06-04,20,150
BRM00083344,2014-06-05,5,134
BRM00083344,2014-06-06,0,129
BRM00083344,2014-06-07,NA,124
BRM00083344,2014-06-08,NA,88
BRM00083344,2014-06-09,8,108
BRM00083344,2014-06-10,0,NA
BRM00083344,2014-06-11,NA,NA
BRM00083344,2014-06-12,NA,NA
BRM00083344,2014-06-13,NA,NA
BRM00083344,2014-06-14,NA,NA
BRM00083344,2014-06-15,NA,NA
BRM00083344,2014-06-16,NA,NA
BRM00083344,2014-06-17,NA,NA
BRM00083344,2014-06-18,NA,NA
BRM00083344,2014-06-19,NA,NA
BRM00083344,2014-06-20,20,140
BRM00083344,2014-06-21,0,NA
BRM00083344,2014-06-22,NA,NA
