id,date,prcp,tmax
CHM00052889,2015-01-01,NA,NA
CHM00052889,2015-01-02,NA,NA
CHM00052889,2015-01-03,NA,NA
CHM00052889,2015-01-04,NA,NA
CHM00052889,2015-01-05,NA,NA
CHM00052889,2015-01-06,NA,NA
CHM00052889,2015-01-07,NA,NA
CHM00052889,2015-01-08,NA,NA
CHM00052889,2015-01-09,NA,NA
CHM00052889,2015-01-10,NA,NA
CHM00052889,2015-01-11,NA,NA
CHM00052889,2015-01-12,NA,NA
CHM00052889,2015-01-13,NA,NA
CHM00052889,2015-01-14,NA,NA
CHM00052889,2015-01-15,NA,NA
CHM00052889,2015-01-16,NA,NA
CHM00052889,2015-01-17,NA,NA
CHM00052889,2015-01-18,NA,NA
CHM00052889,2015-01-19,NA,NA
CHM00052889,2015-01-20,NA,NA
CHM00052889,2015-01-21,NA,NA
CHM00052889,2015-01-22,NA,NA
CHM00052889,2015-01-23,NA,NA
CHM00052889,2015-01-24,NA,NA
CHM00052889,2015-01-25,NA,NA
CHM00052889,2015-01-26,NA,NA
CHM00052889,2015-01-27,NA,NA
CHM00052889,2015-01-28,NA,NA
CHM00052889,2015-01-29,NA,NA
CHM00052889,2015-01-30,18,-29
CHM00052889,2015-01-31,NA,NA
