id,date,prcp,tmax
USC00457773,2010-06-27,0,NA
USC00457773,2010-06-28,0,NA
USC00457773,2010-06-29,0,NA
USC00457773,2010-06-30,0,NA
USC00457773,2010-07-01,3,NA
USC00457773,2010-07-02,86,NA
USC00457773,2010-07-03,107,NA
USC00457773,2010-07-04,5,NA
USC00457773,2010-07-05,NA,NA
USC00457773,2010-07-06,NA,NA
USC00457773,2010-07-07,NA,NA
USC00457773,2010-07-08,NA,NA
USC00457773,2010-07-09,NA,NA
USC00457773,2010-07-10,NA,NA
USC00457773,2010-07-11,NA,NA
USC00457773,2010-07-12,NA,NA
USC00457773,2010-07-13,NA,NA
USC00457773,2010-07-14,NA,NA
USC00457773,2010-07-15,NA,NA
USC00457773,2010-07-16,NA,NA
USC00457773,2010-07-17,NA,NA
USC00457773,2010-07-18,NA,NA
USC00457773,2010-07-19,NA,NA
USC00457773,2010-07-20,NA,NA
USC00457773,2010-07-21,NA,NA
USC00457773,2010-07-22,NA,NA
USC00457773,2010-07-23,NA,NA
USC00457773,2010-07-24,NA,NA
USC00457773,2010-07-25,NA,NA
USC00457773,2010-07-26,NA,NA
USC00457773,2010-07-27,NA,NA
USC00457773,2010-07-28,NA,NA
USC00457773,2010-07-29,NA,NA
USC00457773,2010-07-30,NA,NA
USC00457773,2010-07-31,NA,NA
USC00457773,2013-05-01,NA,NA
USC00457773,2013-05-02,NA,NA
USC00457773,2013-05-03,NA,NA
USC00457773,2013-05-04,NA,NA
USC00457773,2013-05-05,NA,NA
USC00457773,2013-05-06,NA,NA
USC00457773,2013-05-07,0,NA
USC00457773,2013-05-08,0,NA
USC00457773,2013-05-09,0,NA
USC00457773,2013-05-10,0,NA
USC00457773,2013-05-11,0,NA
USC00457773,2013-05-12,48,NA
USC00457773,2013-05-13,43,NA
USC00457773,2013-05-14,140,NA
USC00457773,2013-05-15,8,NA
USC00457773,2013-05-16,NA,NA
USC00457773,2013-05-17,NA,NA
USC00457773,2013-05-18,NA,NA
USC00457773,2013-05-19,NA,NA
USC00457773,2013-05-20,25,NA
USC00457773,2013-05-21,15,NA
USC00457773,2013-05-22,30,NA
USC00457773,2013-05-23,81,NA
USC00457773,2013-05-24,38,NA
USC00457773,2013-05-25,NA,NA
USC00457773,2013-05-26,5,NA
USC00457773,2013-05-27,91,NA
USC00457773,2013-05-28,114,NA
USC00457773,2013-05-29,102,NA
USC00457773,2013-05-30,43,NA
USC00457773,2013-05-31,28,NA
USC00457773,2013-06-01,3,NA
USC00457773,2013-06-02,25,NA
USC00457773,2013-06-03,0,NA
USC00457773,2013-06-04,0,NA
USC00457773,2013-06-05,0,NA
USC00457773,2013-06-06,0,NA
USC00457773,2013-06-07,0,NA
USC00457773,2013-06-08,0,NA
USC00457773,2013-06-09,0,NA
USC00457773,2013-06-10,0,NA
USC00457773,2013-06-11,0,NA
USC00457773,2013-06-12,25,NA
USC00457773,2013-06-13,18,NA
USC00457773,2013-06-14,5,NA
USC00457773,2013-06-15,0,NA
USC00457773,2013-06-16,0,NA
USC00457773,2013-06-17,3,NA
USC00457773,2013-06-18,18,NA
USC00457773,2013-06-19,8,NA
USC00457773,2013-06-20,25,NA
USC00457773,2013-06-21,216,NA
USC00457773,2013-06-22,3,NA
USC00457773,2013-06-23,3,NA
USC00457773,2013-06-24,56,NA
USC00457773,2013-06-25,56,NA
USC00457773,2013-06-26,58,NA
USC00457773,2013-06-27,76,NA
USC00457773,2013-06-28,3,NA
USC00457773,2013-06-29,0,NA
USC00457773,2013-06-30,0,NA
USC00457773,2013-07-01,0,NA
USC00457773,2013-07-02,0,NA
