cityId,stationId,lat,lon,distance
659,AEM00041217,24.45118,54.39696,25.7957037710306
466804,AEM00041217,24.41361,54.43295,22.1814419554795
757530,AE000041196,25.40328,55.52341,7.8412724234888
638,AE000041196,25.40177,55.47878,8.5569283704893
466805,MUM00041244,24.15223,55.8204,9.74948347442522
262,AEM00041194,25.07725,55.30927,20.5180314721119
345009,AEM00041217,24.35893,54.48267,18.9316773073582
757542,MUM00041242,25.46116,56.04058,27.2350718142798
35,MUM00041242,25.78953,55.9432,36.2343844033366
900,AEM00041194,25.33737,55.41206,10.3553798180027
779,AFM00040938,34.34817,62.19967,15.5827454893661
116,PK000041560,34.42647,70.45153,70.8537398360181
216,AFM00040948,34.52813,69.17233,5.5617112805781
953,AFM00040990,31.61332,65.71013,18.2870260194793
756,UZM00038927,36.70904,67.11087,59.5507448845951
131939,ALM00013615,41.3166,19.45,25.123356151667
131928,ALM00013615,41.08333,20,43.6369347375975
131934,ALM00013615,41.33333,19.91667,18.6826569808862
839,ALM00013615,41.3275,19.81889,12.7038643673414
188,AM000037792,40.18111,44.51361,39.0941392502486
132180,AO000066160,-9.06875,13.16072,25.5867345727503
132148,AO000066390,-15.23657,13.88468,47.9867351317698
1040,AO000066160,-8.83682,13.23432,1.47270793810538
1607,AR000877500,-38.71959,-62.27243,9.26659767269862
1960,ARM00087582,-34.61315,-58.37723,6.98938012697484
1932,ARM00087166,-27.46784,-58.8344,7.54518593314308
1474,ARM00087345,-31.4135,-64.18105,1.5124958932454
132610,AR000870470,-24.83333,-65.33333,15.215972623935
132318,ARM00087166,-27.5,-58.75,6.12011972678272
132331,ARM00087178,-27.5,-55.83333,18.5810162377042
132627,ARM00087121,-26.82825,-65.21126,10.6380849764303
132590,AR000087715,-38.83333,-68.83333,61.9839978923318
132534,AR000087418,-32.88333,-68.7,9.56158336814695
132509,AR000087374,-31.5,-60.66667,35.9521772470753
132486,AR000087129,-28.55,-64.33333,87.1269171113132
132230,AR000087374,-31.66667,-60,47.4784064458798
132415,ARM00087453,-33.33333,-64.5,35.4525146858917
132209,AR000087155,-27.66667,-59.16667,26.6970145880873
1908,ARM00087162,-26.18489,-58.17313,6.30393992779212
1491876,AR000875850,-34.51541,-58.76813,27.1735035886278
132692,ARM00087436,-33.27544,-66.32017,3.34196734413808
1244,ARM00087593,-34.92145,-57.95453,7.81245214087326
1552,AR000875850,-34.70252,-58.3955,15.5144624669234
1073,ARM00087420,-32.85273,-68.82837,3.92556404831958
1466,AR000087692,-38.00042,-57.5562,7.85626592550098
1144,ARM00087420,-32.89084,-68.82717,2.30312136539596
1619,AR000875850,-34.66627,-58.72927,24.3621856623786
1598,AR000875850,-34.6509,-58.61956,14.6003186504577
1963,AR000087715,-38.95161,-68.0591,6.39299020229006
1400,AR000087374,-31.73271,-60.52897,7.08243317759856
132315,ARM00087576,-34.83333,-58.33333,18.5419506388641
132320,ARM00087582,-34.66667,-58.33333,14.1624178409882
132651,AR000877500,-38.66667,-62.33333,16.2093487791411
132330,ARM00087593,-34.83333,-58.16667,29.1811266258285
132283,ARM00087576,-34.81917,-58.46583,6.41318075709043
132290,ARM00087576,-34.83333,-58.25,26.1355878309805
132275,AR000087692,-38,-57.75,16.4263133047744
132267,AR000875850,-34.5198,-58.76556,26.8146868775368
132245,ARM00087576,-34.75,-58.58333,9.09830027802543
132263,ARM00087593,-35,-58,10.059556320099
132260,AR000875850,-34.66667,-58.41667,11.1083094125296
132236,ARM00087576,-34.75,-58.41667,13.5223513881691
132681,AR000875850,-34.50771,-58.6956,21.1952297695834
132258,AR000875850,-34.66583,-58.72828,24.2598594954073
132254,AR000875850,-34.6349,-58.79059,28.7356945470081
132238,AR000875850,-34.65139,-58.62194,14.8150211033144
132223,AR000875850,-34.41667,-58.83333,37.0502390651156
132221,ARM00087582,-34.75,-58.25,26.1076371399895
132208,AR000875850,-34.49009,-58.53028,11.2021273599521
132669,AR000875850,-34.55209,-58.69171,19.4170078125249
132188,AR000875850,-34.42058,-58.58279,20.2433710872803
132191,AR000875850,-34.59987,-58.56606,7.8311369938953
1187,AR000875850,-34.45866,-58.9142,41.8542226245328
1444,PA000086297,-27.36708,-55.89608,7.46899972085964
1549,ARM00087582,-34.72904,-58.26374,23.4841764469931
1236,AR000087155,-27.46056,-58.98389,6.62799134683069
1494,ARM00087480,-32.94682,-60.63932,14.4065556815252
1910,AR000870470,-24.7859,-65.41166,10.1312929496392
1866,ARM00087311,-31.5375,-68.53639,11.8202472364046
1108,ARM00087121,-26.82414,-65.2226,11.8182102076831
1409,ARM00087046,-24.19457,-65.29712,29.9013312917111
1887,AR000087374,-31.64881,-60.70868,26.044906172735
1500,AR000087129,-27.79511,-64.26149,4.91151316947276
4770,AU000005901,48.16116,16.38233,8.35056465230087
3750,AU000016402,47.06667,15.45,1.8269326447692
132781,AU000016402,47.06667,15.43333,2.2206570372573
3676,AU000005010,48.30639,14.28611,30.683710087129
1276155,AU000005010,48.3,14.28333,29.947657152969
