id,date,tmin
BR003252024,2013-07-01,NA
BR003252024,2013-07-02,NA
BR003252024,2013-07-03,NA
BR003252024,2013-07-04,NA
BR003252024,2013-07-05,NA
BR003252024,2013-07-06,NA
BR003252024,2013-07-07,NA
BR003252024,2013-07-08,NA
BR003252024,2013-07-09,NA
BR003252024,2013-07-10,150
BR003252024,2013-07-11,140
BR003252024,2013-07-12,NA
BR003252024,2013-07-13,NA
BR003252024,2013-07-14,NA
BR003252024,2013-07-15,NA
BR003252024,2013-07-16,NA
BR003252024,2013-07-17,NA
BR003252024,2013-07-18,NA
BR003252024,2013-07-19,NA
BR003252024,2013-07-20,NA
BR003252024,2013-07-21,NA
BR003252024,2013-07-22,NA
BR003252024,2013-07-23,NA
BR003252024,2013-07-24,NA
BR003252024,2013-07-25,NA
BR003252024,2013-07-26,NA
BR003252024,2013-07-27,NA
BR003252024,2013-07-28,NA
BR003252024,2013-07-29,NA
BR003252024,2013-07-30,NA
BR003252024,2013-07-31,NA
