id,date,tmax
UKE00105922,2010-01-01,59
UKE00105922,2010-01-02,27
UKE00105922,2010-01-03,-2
UKE00105922,2010-01-04,29
UKE00105922,2010-01-05,4
UKE00105922,2010-01-06,-6
UKE00105922,2010-01-07,-4
UKE00105922,2010-01-08,16
UKE00105922,2010-01-09,21
UKE00105922,2010-01-10,14
UKE00105922,2010-01-11,18
UKE00105922,2010-01-12,12
UKE00105922,2010-01-13,27
UKE00105922,2010-01-14,57
UKE00105922,2010-01-15,76
UKE00105922,2010-01-16,97
UKE00105922,2010-01-17,97
UKE00105922,2010-01-18,73
UKE00105922,2010-01-19,21
UKE00105922,2010-01-20,82
UKE00105922,2010-01-21,88
UKE00105922,2010-01-22,56
UKE00105922,2010-01-23,70
UKE00105922,2010-01-24,44
UKE00105922,2010-01-25,23
UKE00105922,2010-01-26,72
UKE00105922,2010-01-27,71
UKE00105922,2010-01-28,60
UKE00105922,2010-01-29,31
UKE00105922,2010-01-30,33
UKE00105922,2010-01-31,60
UKE00105922,2010-02-01,90
UKE00105922,2010-02-02,90
UKE00105922,2010-02-03,84
UKE00105922,2010-02-04,114
UKE00105922,2010-02-05,65
UKE00105922,2010-02-06,50
UKE00105922,2010-02-07,25
UKE00105922,2010-02-08,53
UKE00105922,2010-02-09,33
UKE00105922,2010-02-10,31
UKE00105922,2010-02-11,55
UKE00105922,2010-02-12,47
UKE00105922,2010-02-13,47
UKE00105922,2010-02-14,46
UKE00105922,2010-02-15,63
UKE00105922,2010-02-16,85
UKE00105922,2010-02-17,57
UKE00105922,2010-02-18,61
UKE00105922,2010-02-19,71
UKE00105922,2010-02-20,54
UKE00105922,2010-02-21,32
UKE00105922,2010-02-22,73
UKE00105922,2010-02-23,109
UKE00105922,2010-02-24,94
UKE00105922,2010-02-25,89
UKE00105922,2010-02-26,101
UKE00105922,2010-02-27,66
UKE00105922,2010-02-28,96
UKE00105922,2010-03-01,94
UKE00105922,2010-03-02,69
UKE00105922,2010-03-03,73
UKE00105922,2010-03-04,86
UKE00105922,2010-03-05,81
UKE00105922,2010-03-06,53
UKE00105922,2010-03-07,62
UKE00105922,2010-03-08,79
UKE00105922,2010-03-09,54
UKE00105922,2010-03-10,68
UKE00105922,2010-03-11,76
UKE00105922,2010-03-12,91
UKE00105922,2010-03-13,125
UKE00105922,2010-03-14,126
UKE00105922,2010-03-15,123
UKE00105922,2010-03-16,140
UKE00105922,2010-03-17,168
UKE00105922,2010-03-18,121
UKE00105922,2010-03-19,131
UKE00105922,2010-03-20,134
UKE00105922,2010-03-21,119
UKE00105922,2010-03-22,106
UKE00105922,2010-03-23,166
UKE00105922,2010-03-24,139
UKE00105922,2010-03-25,121
UKE00105922,2010-03-26,125
UKE00105922,2010-03-27,128
UKE00105922,2010-03-28,119
UKE00105922,2010-03-29,114
UKE00105922,2010-03-30,72
UKE00105922,2010-03-31,100
UKE00105922,2010-04-01,106
UKE00105922,2010-04-02,110
UKE00105922,2010-04-03,111
UKE00105922,2010-04-04,131
UKE00105922,2010-04-05,155
UKE00105922,2010-04-06,126
UKE00105922,2010-04-07,159
UKE00105922,2010-04-08,171
UKE00105922,2010-04-09,173
UKE00105922,2010-04-10,139
UKE00105922,2010-04-11,134
UKE00105922,2010-04-12,140
UKE00105922,2010-04-13,129
UKE00105922,2010-04-14,125
UKE00105922,2010-04-15,134
UKE00105922,2010-04-16,164
UKE00105922,2010-04-17,176
UKE00105922,2010-04-18,165
UKE00105922,2010-04-19,138
UKE00105922,2010-04-20,120
UKE00105922,2010-04-21,136
UKE00105922,2010-04-22,166
UKE00105922,2010-04-23,198
UKE00105922,2010-04-24,180
UKE00105922,2010-04-25,172
UKE00105922,2010-04-26,199
UKE00105922,2010-04-27,209
UKE00105922,2010-04-28,153
UKE00105922,2010-04-29,154
UKE00105922,2010-04-30,161
UKE00105922,2010-05-01,98
UKE00105922,2010-05-02,113
UKE00105922,2010-05-03,125
UKE00105922,2010-05-04,149
UKE00105922,2010-05-05,133
UKE00105922,2010-05-06,125
UKE00105922,2010-05-07,95
UKE00105922,2010-05-08,120
UKE00105922,2010-05-09,131
UKE00105922,2010-05-10,102
UKE00105922,2010-05-11,118
UKE00105922,2010-05-12,132
UKE00105922,2010-05-13,140
UKE00105922,2010-05-14,167
UKE00105922,2010-05-15,146
UKE00105922,2010-05-16,159
UKE00105922,2010-05-17,186
UKE00105922,2010-05-18,198
UKE00105922,2010-05-19,217
UKE00105922,2010-05-20,240
UKE00105922,2010-05-21,241
UKE00105922,2010-05-22,265
UKE00105922,2010-05-23,263
UKE00105922,2010-05-24,205
UKE00105922,2010-05-25,180
UKE00105922,2010-05-26,166
UKE00105922,2010-05-27,179
UKE00105922,2010-05-28,163
UKE00105922,2010-05-29,185
UKE00105922,2010-05-30,166
UKE00105922,2010-05-31,145
UKE00105922,2010-06-01,208
UKE00105922,2010-06-02,232
UKE00105922,2010-06-03,263
UKE00105922,2010-06-04,261
UKE00105922,2010-06-05,216
UKE00105922,2010-06-06,195
UKE00105922,2010-06-07,191
UKE00105922,2010-06-08,202
UKE00105922,2010-06-09,176
UKE00105922,2010-06-10,201
UKE00105922,2010-06-11,194
UKE00105922,2010-06-12,215
UKE00105922,2010-06-13,185
UKE00105922,2010-06-14,174
UKE00105922,2010-06-15,191
UKE00105922,2010-06-16,215
UKE00105922,2010-06-17,196
UKE00105922,2010-06-18,154
UKE00105922,2010-06-19,189
UKE00105922,2010-06-20,245
UKE00105922,2010-06-21,249
UKE00105922,2010-06-22,253
UKE00105922,2010-06-23,244
UKE00105922,2010-06-24,255
UKE00105922,2010-06-25,280
UKE00105922,2010-06-26,279
UKE00105922,2010-06-27,264
