cityId,stationId,countryCode,type,cityName,regionName,regionCode,lat,lon,population,elevation,timezone,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex,formations_mIndex,beach_Index,image_links
132651,AR000877500,AR,CITY,Partido de Bahía Blanca,Buenos Aires Province,B,-38.66667,-62.33333,301572,,America__Argentina__Buenos_Aires,2,57,82,68,12,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132651.jpg
2545,ARM00087582,AR,CITY,Balvanera,Buenos Aires,C,-34.61032,-58.39766,152198,35.0,America__Argentina__Buenos_Aires,2,1193,936,1147,6,58,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/2545.jpg
1610,ARM00087582,AR,CITY,Berazategui,Buenos Aires Province,B,-34.76531,-58.21278,167498,22.0,America__Argentina__Buenos_Aires,2,66,364,20,0,10,0,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/1610.jpg
1960,ARM00087582,AR,CITY,Buenos Aires,Buenos Aires,C,-34.61315,-58.37723,13076300,25.0,America__Argentina__Buenos_Aires,2,1190,936,1291,6,118,0,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/1960.jpg
132320,ARM00087582,AR,CITY,Partido de Avellaneda,Buenos Aires Province,B,-34.66667,-58.33333,340985,,America__Argentina__Buenos_Aires,2,1194,931,1116,6,42,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132320.jpg
132221,ARM00087582,AR,CITY,Partido de Quilmes,Buenos Aires Province,B,-34.75,-58.25,518788,,America__Argentina__Buenos_Aires,2,1138,908,974,6,44,0,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/132221.jpg
1549,ARM00087582,AR,CITY,Quilmes,Buenos Aires Province,B,-34.729040000000005,-58.26374000000001,230810,17.0,America__Argentina__Buenos_Aires,2,473,611,210,0,22,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1549.jpg
1783,AR000875850,AR,CITY,Belgrano,Buenos Aires,C,-34.5627,-58.45829000000001,138942,18.0,America__Argentina__Buenos_Aires,2,1081,964,1155,6,76,0,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/1783.jpg
1531,AR000875850,AR,CITY,Ituzaingó,Buenos Aires Province,B,-34.65803,-58.66317,135275,28.0,America__Argentina__Buenos_Aires,2,270,642,94,0,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1531.jpg
1491876,AR000875850,AR,CITY,José C. Paz,Buenos Aires Province,B,-34.51541,-58.768130000000006,230208,,America__Argentina__Buenos_Aires,2,97,342,26,0,6,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1491876.jpg
