regionCode,regionName,countryCode,culture_hIndexMean,culture_hIndexMin,culture_hIndexMax,culture_cIndexMean,culture_cIndexMin,culture_cIndexMax,culture_rIndexMean,culture_rIndexMin,culture_rIndexMax,culture_aIndexMean,culture_aIndexMin,culture_aIndexMax,culture_iIndexMean,culture_iIndexMin,culture_iIndexMax,culture_nIndexMean,culture_nIndexMin,culture_nIndexMax,formations_mIndexMean,formations_mIndexMin,formations_mIndexMax,formations_rIndexMean,formations_rIndexMin,formations_rIndexMax,beach_IndexMean,beach_IndexMin,beach_IndexMax
AR_Y,Jujuy Province,AR,90.0,90,90,102.0,102,102,208.0,208,208,28.0,28,28,0.0,0,0,0.0,0,0,18.0,18,18,0.0,0,0,0.0,0,0
AT_2,Carinthia,AT,909.0,909,909,243.0,243,243,909.0,909,909,1442.0,1442,1442,24.0,24,24,61.0,61,61,80.0,80,80,0.0,0,0,0.0,0,0
AT_4,Upper Austria,AT,664.0,664,664,633.0,633,633,974.0,974,974,2768.0,2768,2768,6.0,6,6,113.0,113,113,69.0,69,69,0.0,0,0,5.0,5,5
AT_5,Salzburg,AT,1092.0,1092,1092,815.0,808,822,1314.0,1296,1332,2827.0,2827,2827,67.0,67,67,308.0,305,310,228.0,228,228,14.0,14,14,0.0,0,0
AT_6,Styria,AT,1326.0,1309,1342,862.0,847,876,1372.0,1355,1389,2673.0,2664,2682,72.0,72,72,139.0,138,140,162.0,161,163,0.0,0,0,0.0,0,1
AT_7,Tyrol,AT,1150.0,1150,1150,613.0,613,613,1767.0,1767,1767,2825.0,2825,2825,98.0,98,98,313.0,313,313,414.0,414,414,0.0,0,0,0.0,0,0
AT_9,Vienna,AT,1559.0,1483,1609,1465.0,1372,1600,2033.0,1992,2052,2632.0,2395,2919,374.0,292,522,351.0,182,597,417.0,138,1003,0.0,0,0,8.0,0,16
AU_ACT,Australian Capital Territory,AU,214.0,214,214,533.0,533,533,295.0,295,295,537.0,537,537,17.0,17,17,107.0,107,107,128.0,128,128,0.0,0,0,0.0,0,0
AU_NSW,New South Wales,AU,266.0,56,665,444.0,68,1143,401.0,80,982,960.0,114,2601,141.0,18,378,295.0,46,763,37.0,6,72,0.0,0,0,59.0,5,149
AU_NT,Northern Territory,AU,35.0,34,36,89.0,88,90,41.0,40,42,88.0,80,96,0.0,0,0,25.0,21,29,7.0,6,8,0.0,0,0,5.0,0,10
AU_QLD,Queensland,AU,74.0,0,308,161.0,6,701,222.0,6,972,462.0,6,2656,19.0,0,98,118.0,0,344,48.0,14,159,0.0,0,0,5.0,0,18
AU_SA,South Australia,AU,166.0,166,166,608.0,608,608,555.0,555,555,329.0,329,329,51.0,51,51,348.0,348,348,89.0,89,89,0.0,0,0,22.0,22,22
AU_TAS,Tasmania,AU,44.0,26,62,100.0,87,114,84.0,70,98,88.0,74,103,2.0,0,4,22.0,4,39,44.0,18,71,0.0,0,0,2.0,0,4
AU_VIC,Victoria,AU,32.0,32,32,64.0,64,64,89.0,89,89,89.0,89,89,15.0,15,15,6.0,6,6,8.0,8,8,0.0,0,0,0.0,0,0
AU_WA,Western Australia,AU,151.0,23,279,562.0,50,1075,286.0,20,551,1011.0,50,1972,26.0,0,51,318.0,69,567,72.0,22,121,0.0,0,0,30.0,10,51
AZ_GA,Ganja,AZ,39.0,39,39,53.0,53,53,76.0,76,76,13.0,13,13,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
AZ_LA,Lankaran District,AZ,44.0,44,44,2.0,2,2,14.0,14,14,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.0,2,2
BA_BIH,Federation of Bosnia and Herzegovina,BA,164.0,77,389,107.0,18,282,234.0,106,520,84.0,2,271,4.0,0,18,42.0,23,83,79.0,39,169,0.0,0,0,2.0,0,3
BA_SRP,Republika Srpska,BA,104.0,104,104,6.0,6,6,99.0,99,99,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
BD_06,Barisal District,BD,6.0,4,8,7.0,7,7,164.0,149,178,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
BD_13,Dhaka District,BD,154.0,4,376,139.0,4,321,662.0,158,887,31.0,0,66,0.0,0,0,8.0,0,24,0.0,0,0,0.0,0,0,0.0,0,0
BD_27,Khulna District,BD,3.0,2,4,6.0,2,10,56.0,8,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
BD_34,Mymensingh District,BD,2.0,2,2,0.0,0,0,36.0,36,36,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
BD_54,Rajshahi District,BD,11.0,0,23,6.0,0,14,89.0,37,163,0.0,0,2,0.0,0,0,1.0,0,6,0.0,0,0,0.0,0,0,0.0,0,0
BD_55,Rangpur District,BD,10.0,10,10,14.0,14,14,157.0,157,157,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
BD_60,Sylhet District,BD,5.0,5,5,15.0,15,15,173.0,173,173,4.0,4,4,0.0,0,0,3.0,3,3,0.0,0,0,0.0,0,0,0.0,0,0
BD_B,Chittagong Division,BD,29.0,2,80,32.0,7,80,373.0,71,968,6.0,0,17,0.0,0,0,18.0,17,18,2.0,0,6,0.0,0,0,0.0,0,1
BE_BRU,Brussels-Capital Region,BE,1182.0,1182,1182,1107.0,1107,1107,1563.0,1563,1563,2780.0,2780,2780,642.0,642,642,915.0,915,915,28.0,28,28,0.0,0,0,0.0,0,0
BE_VLG,Flanders,BE,581.0,358,1232,604.0,194,1439,966.0,696,1546,1188.0,543,2769,162.0,42,218,50.0,30,64,7.0,0,17,0.0,0,0,1.0,0,3
BE_WAL,Wallonia,BE,421.0,293,549,296.0,139,453,602.0,334,869,338.0,204,473,62.0,62,63,44.0,33,56,12.0,4,20,1.0,0,2,0.0,0,0
BG_03,Varna Province,BG,158.0,158,158,154.0,154,154,133.0,133,133,41.0,41,41,0.0,0,0,90.0,90,90,32.0,32,32,0.0,0,0,31.0,31,31
BG_22,Sofia City Province,BG,554.0,554,554,481.0,481,481,625.0,625,625,176.0,176,176,6.0,6,6,228.0,228,228,544.0,544,544,9.0,9,9,0.0,0,0
BH_13,Capital Governorate,BH,210.0,210,210,105.0,105,105,128.0,128,128,96.0,96,96,0.0,0,0,32.0,32,32,0.0,0,0,0.0,0,0,3.0,3,3
BH_14,Southern Governorate,BH,214.0,214,214,107.0,107,107,130.0,130,130,96.0,96,96,0.0,0,0,47.0,47,47,3.0,3,3,0.0,0,0,0.0,0,0
BO_B,Beni Department,BO,10.0,10,10,10.0,10,10,30.0,30,30,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
BO_C,Cochabamba Department,BO,186.0,148,218,438.0,421,457,447.0,402,484,92.0,90,94,15.0,14,16,146.0,93,192,84.0,56,103,0.0,0,0,0.0,0,0
BO_L,La Paz Department,BO,257.0,257,257,493.0,493,493,591.0,591,591,128.0,128,128,8.0,8,8,209.0,209,209,117.0,117,117,0.0,0,0,0.0,0,0
BO_O,Oruro Department,BO,22.0,22,22,60.0,60,60,118.0,118,118,6.0,6,6,0.0,0,0,47.0,47,47,47.0,47,47,0.0,0,0,0.0,0,0
BO_P,Potosí Department,BO,19.0,19,19,34.0,34,34,63.0,63,63,0.0,0,0,8.0,8,8,90.0,90,90,84.0,84,84,0.0,0,0,0.0,0,0
BO_S,Santa Cruz Department,BO,80.0,11,149,95.0,4,186,214.0,28,400,9.0,0,18,0.0,0,0,12.0,0,24,0.0,0,0,0.0,0,0,0.0,0,1
BO_T,Tarija Department,BO,16.0,16,16,68.0,68,68,78.0,78,78,8.0,8,8,0.0,0,0,12.0,12,12,0.0,0,0,0.0,0,0,0.0,0,0
BR_MS,Mato Grosso do Sul,BR,8.0,8,8,11.0,11,11,10.0,10,10,2.0,2,2,0.0,0,0,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0
CA_AB,Alberta,CA,80.0,80,80,354.0,354,354,542.0,542,542,883.0,883,883,12.0,12,12,47.0,47,47,2.0,2,2,0.0,0,0,0.0,0,0
CA_BC,British Columbia,CA,102.0,4,245,352.0,14,846,297.0,32,619,157.0,0,432,12.0,0,30,80.0,0,235,20.0,0,61,0.0,0,0,5.0,0,35
CA_MB,Manitoba,CA,248.0,248,248,501.0,501,501,389.0,389,389,236.0,236,236,26.0,26,26,119.0,119,119,4.0,4,4,0.0,0,0,0.0,0,0
CA_NL,Newfoundland and Labrador,CA,88.0,88,88,116.0,116,116,206.0,206,206,838.0,838,838,12.0,12,12,30.0,30,30,46.0,46,46,0.0,0,0,2.0,2,2
CA_NS,Nova Scotia,CA,217.0,215,219,342.0,341,343,284.0,277,291,215.0,215,215,12.0,12,12,52.0,52,52,37.0,34,40,2.0,2,2,9.0,8,10
CA_ON,Ontario,CA,154.0,4,803,228.0,14,993,373.0,19,1087,318.0,2,2608,17.0,0,72,38.0,3,185,3.0,0,16,0.0,0,0,3.0,0,40
CA_QC,Quebec,CA,272.0,16,702,475.0,31,1082,480.0,80,1099,709.0,50,1943,46.0,12,110,81.0,17,241,13.0,0,31,2.0,0,4,4.0,0,7
CH_BE,canton of Bern,CH,1418.0,1418,1418,1114.0,1114,1114,457.0,457,457,1238.0,1238,1238,24.0,24,24,66.0,66,66,59.0,59,59,0.0,0,0,2.0,2,2
