regionCode,regionName,countryCode,culture_hIndexMean,culture_hIndexMin,culture_hIndexMax,culture_cIndexMean,culture_cIndexMin,culture_cIndexMax,culture_rIndexMean,culture_rIndexMin,culture_rIndexMax,culture_aIndexMean,culture_aIndexMin,culture_aIndexMax,culture_iIndexMean,culture_iIndexMin,culture_iIndexMax,culture_nIndexMean,culture_nIndexMin,culture_nIndexMax,formations_mIndexMean,formations_mIndexMin,formations_mIndexMax,formations_rIndexMean,formations_rIndexMin,formations_rIndexMax,beach_IndexMean,beach_IndexMin,beach_IndexMax
AE_AJ,Ajman Emirate,AE,1.0,32,32,1.0,167,167,1.0,121,121,0.0,0,0,0.0,0,0,1.0,169,169,0.0,0,0,0.0,0,0,1.0,2,2
AE_AZ,Abu Dhabi Emirate,AE,1.0,28,38,1.0,102,166,1.0,109,121,1.0,24,42,0.0,0,0,1.0,53,153,0.0,0,0,0.0,0,0,2.0,3,46
AE_DU,Dubai,AE,1.0,92,92,3.0,610,610,1.0,210,210,1.0,247,247,0.0,0,0,2.0,411,411,1.0,8,8,0.0,0,0,2.0,9,9
AE_SH,Sharjah Emirate,AE,1.0,103,103,2.0,570,570,1.0,141,141,1.0,245,245,0.0,0,0,3.0,521,521,1.0,2,2,0.0,0,0,3.0,69,69
AL_DR,Durrës District,AL,1.0,64,64,1.0,23,23,1.0,41,41,1.0,82,82,0.0,0,0,1.0,29,29,1.0,4,4,1.0,4,4,2.0,5,5
AL_EL,Elbasan District,AL,1.0,54,54,1.0,6,6,1.0,42,42,1.0,247,247,0.0,0,0,1.0,238,238,1.0,52,52,0.0,0,0,0.0,0,0
AL_SH,Shkodër District,AL,1.0,133,133,1.0,73,73,1.0,128,128,2.0,833,833,0.0,0,0,3.0,763,763,3.0,244,244,0.0,0,0,1.0,2,2
AL_TR,Tirana District,AL,1.0,233,233,1.0,183,183,1.0,122,122,2.0,812,812,0.0,0,0,3.0,700,700,4.0,316,316,0.0,0,0,0.0,0,0
AM_ER,Yerevan,AM,2.0,747,747,3.0,849,849,2.0,540,540,1.0,300,300,1.0,6,6,2.0,301,301,2.0,198,198,1.0,4,4,0.0,0,0
AM_LO,Lori Region,AM,1.0,12,12,1.0,38,38,1.0,30,30,1.0,6,6,0.0,0,0,1.0,37,37,1.0,63,63,0.0,0,0,0.0,0,0
AM_SH,Shirak Region,AM,1.0,123,123,1.0,77,77,1.0,70,70,1.0,14,14,0.0,0,0,1.0,4,4,1.0,2,2,0.0,0,0,0.0,0,0
AR_A,Salta Province,AR,1.0,80,80,1.0,120,120,1.0,146,146,1.0,22,22,0.0,0,0,1.0,4,4,1.0,24,24,0.0,0,0,0.0,0,0
AR_B,Buenos Aires Province,AR,1.0,28,1544,2.0,26,1194,2.0,36,931,1.0,6,1305,1.0,0,12,1.0,0,117,1.0,0,27,0.0,0,0,1.0,0,42
AR_C,Buenos Aires,AR,3.0,1550,1560,4.0,1081,1193,3.0,936,964,3.0,1147,1291,1.0,6,6,1.0,58,118,0.0,0,0,0.0,0,0,1.0,0,5
AR_D,San Luis Province,AR,1.0,18,20,1.0,14,14,1.0,18,42,1.0,0,3,0.0,0,0,1.0,0,6,1.0,0,2,0.0,0,0,1.0,0,2
AR_E,Entre Ríos Province,AR,1.0,14,14,1.0,24,26,1.0,34,47,1.0,0,18,0.0,0,0,1.0,2,14,0.0,0,0,0.0,0,0,2.0,4,10
AR_F,La Rioja Province,AR,1.0,20,20,1.0,26,26,1.0,27,27,0.0,0,0,0.0,0,0,0.0,0,0,1.0,4,4,0.0,0,0,0.0,0,0
AR_G,Santiago del Estero Province,AR,1.0,26,26,1.0,10,10,1.0,68,68,0.0,0,0,0.0,0,0,1.0,0,4,0.0,0,0,0.0,0,0,0.0,0,0
AR_H,Chaco Province,AR,1.0,77,77,1.0,277,277,2.0,684,684,1.0,52,52,1.0,6,6,1.0,26,26,1.0,4,4,0.0,0,0,0.0,0,0
