cityId,stationId,countryCode,type,cityName,regionCode,regionName,lat,lon,population,elevation,timezone,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex,formations_mIndex,formations_rIndex,beach_Index,image_links
659,AEM00041217,AE,CITY,Abu Dhabi,AE_AZ,Abu Dhabi Emirate,24.45118,54.39696,1000000,14.0,Asia__Dubai,1,1,1,1,0,1,0,0,3,https://travelapiimages.s3.eu-central-1.amazonaws.com/659.jpg
345009,AEM00041217,AE,CITY,Musaffah,AE_AZ,Abu Dhabi Emirate,24.35893,54.48267,243341,,Asia__Dubai,1,1,1,1,0,1,0,0,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/345009.jpg
757530,AE000041196,AE,CITY,Ajman,AE_AJ,Ajman Emirate,25.40328,55.52341,490035,,Asia__Dubai,1,1,1,0,0,1,0,0,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/757530.jpg
262,AEM00041194,AE,CITY,Dubai,AE_DU,Dubai,25.07725,55.30927,2502715,,Asia__Dubai,1,2,1,1,0,2,1,0,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/262.jpg
900,AEM00041194,AE,CITY,Sharjah,AE_SH,Sharjah Emirate,25.33737,55.41206,1400000,14.0,Asia__Dubai,1,2,1,1,0,3,1,0,3,https://travelapiimages.s3.eu-central-1.amazonaws.com/900.jpg
491,ALM00013615,AL,CITY,Durrës,AL_DR,Durrës District,41.32355,19.45469,122034,0.0,Europe__Tirane,1,1,1,1,0,1,1,1,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/491.jpg
709,ALM00013615,AL,CITY,Elbasan,AL_EL,Elbasan District,41.1125,20.08222,100903,150.0,Europe__Tirane,1,1,1,1,0,1,1,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/709.jpg
839,ALM00013615,AL,CITY,Tirana,AL_TR,Tirana District,41.3275,19.81889,418495,110.0,Europe__Tirane,1,1,1,2,0,3,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/839.jpg
25,MJM00013461,AL,CITY,Shkodër,AL_SH,Shkodër District,42.06828,19.51258,112276,13.0,Europe__Tirane,1,1,1,2,0,3,1,0,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/25.jpg
392,AM000037682,AM,CITY,Gyumri,AM_SH,Shirak Region,40.7942,43.84528,148381,1509.0,Asia__Yerevan,1,1,1,1,0,1,1,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/392.jpg
30,AM000037704,AM,CITY,Vanadzor,AM_LO,Lori Region,40.80456,44.4939,101098,1350.0,Asia__Yerevan,1,1,1,1,0,1,1,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/30.jpg
188,AM000037792,AM,CITY,Yerevan,AM_ER,Yerevan,40.18111,44.51361,1075800,,Asia__Yerevan,2,3,2,1,1,2,1,1,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/188.jpg
1607,AR000877500,AR,CITY,Bahía Blanca,AR_B,Buenos Aires Province,-38.71959,-62.27243000000001,301572,20.0,America__Argentina__Buenos_Aires,1,1,1,1,1,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1607.jpg
132651,AR000877500,AR,CITY,Partido de Bahía Blanca,AR_B,Buenos Aires Province,-38.66667,-62.33333,301572,,America__Argentina__Buenos_Aires,1,1,1,1,1,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132651.jpg
2545,ARM00087582,AR,CITY,Balvanera,AR_C,Buenos Aires,-34.61032,-58.39766,152198,35.0,America__Argentina__Buenos_Aires,3,4,3,2,1,1,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/2545.jpg
1610,ARM00087582,AR,CITY,Berazategui,AR_B,Buenos Aires Province,-34.76531,-58.21278,167498,22.0,America__Argentina__Buenos_Aires,1,1,1,1,0,1,0,0,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/1610.jpg
1960,ARM00087582,AR,CITY,Buenos Aires,AR_C,Buenos Aires,-34.61315,-58.37723,13076300,25.0,America__Argentina__Buenos_Aires,3,4,3,3,1,1,0,0,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/1960.jpg
132320,ARM00087582,AR,CITY,Partido de Avellaneda,AR_B,Buenos Aires Province,-34.66667,-58.33333,340985,,America__Argentina__Buenos_Aires,3,4,3,2,1,1,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132320.jpg
132221,ARM00087582,AR,CITY,Partido de Quilmes,AR_B,Buenos Aires Province,-34.75,-58.25,518788,,America__Argentina__Buenos_Aires,3,4,3,2,1,1,0,0,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/132221.jpg
1549,ARM00087582,AR,CITY,Quilmes,AR_B,Buenos Aires Province,-34.729040000000005,-58.26374000000001,230810,17.0,America__Argentina__Buenos_Aires,1,2,2,1,0,1,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1549.jpg
1783,AR000875850,AR,CITY,Belgrano,AR_C,Buenos Aires,-34.5627,-58.45829000000001,138942,18.0,America__Argentina__Buenos_Aires,3,4,3,2,1,1,0,0,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/1783.jpg
