cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
6504,20000,39,53,76,13,0,0
133381,20000,331,381,297,86,0,20
6136,20000,44,2,14,0,0,0
133384,20000,369,383,295,86,0,10
6777,20000,40,32,32,14,0,0
6588,20000,66,26,22,0,0,90
6602,20000,24,4,3,0,0,0
6619,20000,94,51,233,16,0,11
133416,20000,104,6,99,0,0,0
6389,20000,77,88,191,54,0,40
6264,30000,389,282,520,271,18,83
6680,20000,108,41,117,10,0,23
6694,20000,80,18,106,2,0,23
6085,20000,51,43,302,10,4,105
133464,20000,4,7,178,0,0,0
6599,20000,8,7,149,0,0,0
6737,20000,14,12,81,4,0,0
133512,20000,16,12,163,2,0,0
133510,50000,33,27,206,14,0,10
133523,50000,80,80,968,17,0,17
133471,20000,26,15,190,0,0,0
133491,20000,4,10,80,0,0,18
6903,20000,2,7,71,0,0,18
133468,50000,376,321,843,66,0,24
133499,20000,14,3,71,0,0,16
6132,20000,14,6,59,0,0,15
133522,20000,0,12,94,0,0,0
6946,20000,0,12,94,0,0,0
133504,20000,2,0,36,0,0,0
6090,20000,0,0,32,0,0,0
133517,20000,4,10,104,0,0,0
133486,50000,79,21,966,6,0,3
133463,20000,2,2,8,0,0,0
133470,20000,2,16,182,0,0,0
133494,20000,94,94,847,38,0,4
6790,20000,4,4,158,0,0,0
133501,20000,8,0,79,0,0,0
6103,20000,2,4,112,0,0,0
6776,20000,227,144,887,40,0,4
133500,20000,6,2,63,0,0,0
6282,20000,8,0,88,0,0,2
6836,20000,16,14,81,0,0,0
6752,20000,0,2,66,0,0,0
133465,30000,34,16,190,2,0,2
133505,20000,10,14,157,4,0,0
6846,30000,34,16,188,2,0,2
6190,20000,10,2,37,0,0,6
133487,20000,4,0,208,0,0,0
133492,20000,0,4,28,3,0,0
6827,20000,23,12,132,0,0,0
6199,20000,4,2,58,0,0,0
133524,20000,8,2,60,0,0,10
6095,20000,39,30,418,0,0,0
133472,20000,5,15,173,4,0,3
6693,20000,2,0,17,0,0,0
133466,20000,8,6,38,2,0,2
6606,20000,184,240,816,40,0,14
6133,20000,8,6,39,6,0,2
7296,20000,541,194,972,948,212,35
7584,30000,1232,1439,1546,2769,218,61
6971,20000,370,548,696,764,130,64
7918,50000,1182,1107,1563,2780,642,915
7213,20000,293,139,334,204,62,56
7479,20000,406,519,770,914,210,60
6766,20000,358,321,845,543,42,30
6407,20000,549,453,869,473,63,33
6470,20000,213,127,350,133,4,32
7932,20000,14,11,72,0,0,34
7153,50000,55,85,319,2,0,40
7148,20000,30,79,71,8,0,78
6989,20000,46,60,23,4,0,10
7915,20000,230,250,197,32,0,25
7466,20000,118,125,130,46,4,13
7448,50000,554,481,625,176,6,228
7088,20000,131,82,52,12,0,146
6959,30000,158,154,133,41,0,90
7322,20000,214,107,130,96,0,47
7342,20000,210,105,128,96,0,32
6972,30000,16,17,246,0,0,30
7484,30000,68,95,648,16,0,12
