cityId,population,searchRadius,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
1783,138942,20000,18,132,52,279,4,75,264,57,85,7,58,391,12,29,5,9,20,5,23,168,0,0,0,0,1,19,19,0,2,5
1610,167498,20000,5,29,0,0,0,20,28,2,1,0,24,179,2,0,0,1,1,0,0,3,0,0,0,0,0,5,5,0,0,0
1892,101123,20000,1,13,1,3,0,27,34,8,7,2,8,67,1,2,1,0,5,2,2,10,0,0,0,0,0,3,3,0,0,0
1960,13076300,50000,18,146,54,265,6,50,253,68,87,22,69,383,10,29,4,11,28,5,23,188,0,0,0,0,1,40,40,0,2,5
1680,217593,20000,8,13,0,1,0,0,7,0,1,2,5,13,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,5,0
1170,149450,20000,6,16,0,0,0,62,39,0,2,2,16,38,1,0,1,1,5,0,0,0,0,0,0,0,0,4,4,0,0,0
1932,352646,20000,9,28,1,3,1,90,119,6,1,2,42,276,0,4,2,0,0,0,1,8,0,0,0,0,1,20,20,0,1,0
1474,1428214,50000,14,86,4,0,3,37,97,6,6,7,21,147,2,2,7,2,5,0,0,14,0,0,0,0,0,5,5,3,1,0
132626,116511,20000,4,46,1,0,0,26,24,3,2,1,33,113,0,0,2,3,2,0,0,3,1,0,0,0,0,0,0,1,0,0
132523,182977,20000,4,23,0,1,0,35,81,3,3,2,12,106,0,0,1,0,7,0,0,6,0,0,0,0,1,0,0,1,0,0
132534,283803,20000,3,16,0,1,0,28,71,1,3,2,10,95,0,0,1,0,7,0,0,5,0,0,0,0,1,0,0,0,0,0
132500,182962,20000,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0
132484,104470,20000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0
132482,153600,20000,3,4,0,0,0,1,5,0,0,0,1,9,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
132389,108448,20000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1767,146704,20000,9,44,2,0,0,30,40,4,0,2,53,258,2,3,1,1,2,0,0,9,0,0,0,0,0,1,1,0,0,0
1908,222226,20000,3,6,0,0,1,5,7,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
1515,191299,20000,4,23,0,1,0,35,81,3,3,2,12,108,0,0,1,0,7,0,0,5,0,0,0,0,1,0,0,1,0,0
1022,109461,20000,3,7,0,0,0,3,7,0,0,2,11,15,0,1,0,4,0,0,0,0,0,0,0,0,0,7,7,0,0,0
1531,135275,20000,24,91,3,11,3,24,91,10,13,1,51,315,0,3,0,1,5,0,0,14,0,0,0,0,0,1,1,0,0,0
1491876,230208,20000,23,70,1,1,0,13,42,1,1,1,29,171,0,0,0,0,1,0,0,4,0,0,0,0,0,3,3,0,0,0
1119,160219,20000,4,29,2,0,1,10,30,2,0,2,31,139,1,3,1,1,1,0,0,9,0,0,0,0,0,1,1,0,0,0
1964,106441,20000,3,13,0,0,0,6,5,0,0,0,1,25,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
1244,694167,30000,1,19,1,3,0,27,43,9,7,2,15,83,1,2,1,1,5,2,2,10,0,0,0,0,0,3,3,0,0,0
1451,180995,20000,0,10,0,0,0,0,10,0,0,1,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,459263,20000,18,174,49,244,8,46,269,72,69,18,72,383,9,28,4,8,21,4,23,164,0,0,0,0,1,3,3,0,0,5
1073,203507,20000,3,18,0,1,0,29,77,3,3,2,11,101,0,0,1,0,7,0,0,5,0,0,0,0,1,0,0,1,0,0
1718,111897,20000,15,94,7,14,6,51,227,59,43,5,71,412,4,9,3,2,8,0,2,58,0,0,0,0,0,0,0,0,0,3
1466,860000,30000,5,29,1,0,0,5,32,0,4,1,4,24,0,1,2,1,1,1,0,3,0,0,0,0,0,57,57,1,0,0
1144,876884,30000,4,24,0,1,0,35,81,3,3,2,12,113,0,0,2,0,7,0,0,6,0,0,0,0,1,0,0,1,0,0
1619,244168,20000,21,74,1,3,1,9,55,1,2,1,33,199,0,1,0,1,5,0,0,4,0,0,0,0,0,1,1,0,0,0
1598,319934,20000,33,109,5,14,4,42,169,32,23,1,67,418,3,5,1,2,5,1,1,27,0,0,0,0,0,1,1,0,0,1
1963,242092,20000,2,39,0,0,0,5,41,2,0,2,7,35,1,1,0,0,1,0,1,0,0,0,0,0,1,3,3,0,0,0
1400,262295,20000,5,7,0,0,0,6,9,0,0,1,2,16,1,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0
132315,555731,30000,17,103,7,12,3,44,182,49,32,5,77,413,3,6,1,2,6,0,3,46,0,0,0,0,0,6,6,0,0,3
132320,340985,20000,17,161,52,254,6,47,261,60,87,24,70,383,11,27,4,8,20,4,23,162,0,0,0,0,1,6,6,0,0,5
132651,301572,20000,2,31,0,0,0,7,18,3,0,2,11,41,0,0,0,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0
132330,320224,20000,4,23,0,0,0,24,30,4,1,0,16,114,2,0,0,1,2,0,0,1,0,0,0,0,0,5,5,0,0,0
132294,178155,20000,4,28,0,0,0,7,19,0,1,0,11,39,0,1,0,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0
132283,298814,20000,6,39,2,1,1,12,34,2,0,2,51,225,1,3,1,1,1,0,1,9,0,0,0,0,0,1,1,0,0,0
132679,118807,20000,4,28,2,0,1,10,30,2,0,2,28,131,1,3,1,1,1,0,0,9,0,0,0,0,0,1,1,0,0,0
132290,423992,20000,7,39,1,0,0,26,39,3,1,2,32,211,2,2,1,2,1,0,0,7,0,0,0,0,0,5,5,0,0,0
132275,564056,30000,6,28,1,0,0,5,31,0,4,1,4,23,0,1,2,1,1,1,0,4,0,0,0,0,0,56,56,1,0,0
132690,176505,20000,30,134,4,20,4,60,205,37,36,2,61,430,4,5,0,2,5,1,0,32,0,0,0,0,0,3,3,0,0,0
132674,158121,20000,24,91,3,11,2,23,88,9,13,1,51,309,0,3,0,1,5,0,0,14,0,0,0,0,0,1,1,0,0,0
132267,230208,20000,23,72,1,1,0,13,42,1,1,1,28,181,0,0,0,0,1,0,0,4,0,0,0,0,0,3,3,0,0,0
132245,1775816,50000,46,249,35,150,10,63,316,57,43,5,93,396,2,7,1,10,29,5,23,190,0,0,0,0,1,37,37,0,2,5
132263,774369,30000,1,19,1,3,0,27,43,9,7,2,15,80,1,2,1,1,5,2,2,10,0,0,0,0,0,3,3,0,0,0
132260,212152,20000,13,168,50,254,7,41,286,70,65,12,71,382,10,28,4,9,19,5,23,171,0,0,0,0,1,8,8,0,1,5
132236,613192,30000,23,208,43,212,9,62,276,71,56,10,72,407,3,15,2,9,26,5,23,174,0,0,0,0,1,9,9,0,1,5
132681,320000,20000,24,92,1,1,1,30,63,1,3,2,42,254,2,0,0,1,1,0,0,14,0,0,0,0,0,5,5,0,0,0
132258,524207,30000,36,134,4,12,4,43,153,20,19,1,61,433,2,4,0,2,6,0,0,27,0,0,0,0,0,2,2,0,0,0
132254,462242,20000,21,49,1,1,0,5,34,1,2,1,23,148,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
132238,321109,20000,31,108,5,14,4,42,164,31,22,1,66,411,3,5,1,2,5,0,1,27,0,0,0,0,0,1,1,0,0,1
132461,103961,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132221,518788,30000,20,179,49,241,5,66,252,60,79,23,73,392,10,19,3,7,22,4,21,139,0,0,0,0,1,7,7,0,0,5
132200,163462,20000,14,62,2,7,2,55,119,11,25,6,29,231,2,3,1,1,1,1,0,21,0,0,0,0,0,31,31,0,2,0
132208,292878,20000,28,117,11,65,5,98,261,44,79,10,59,346,4,7,1,6,3,1,4,55,0,0,0,0,0,32,32,0,2,1
132669,253086,20000,27,112,2,3,0,33,88,2,2,1,48,329,2,1,0,2,6,0,0,7,0,0,0,0,0,2,2,0,0,0
132375,137867,20000,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132195,108109,20000,3,32,0,0,0,6,27,0,0,0,2,14,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
132188,380709,20000,12,55,1,0,1,33,54,5,4,5,29,189,2,0,1,1,1,0,0,12,0,0,0,0,0,29,29,0,1,0
132191,343774,20000,44,211,37,188,8,84,289,58,48,3,65,418,5,9,1,6,13,2,9,102,0,0,0,0,1,16,16,0,2,3
132183,114269,20000,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,226517,20000,4,14,0,0,0,3,11,0,1,0,12,37,0,1,0,0,4,0,1,0,0,1,0,0,0,3,3,0,1,0
1444,323739,20000,15,111,3,9,0,20,41,4,10,0,31,150,1,2,0,1,4,0,3,0,0,0,0,1,0,7,7,1,0,0
1488,111447,20000,1,5,0,0,0,0,4,0,1,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1549,230810,20000,9,64,3,7,2,37,113,37,25,6,52,282,3,8,1,1,4,0,4,31,0,0,0,0,0,5,5,0,0,2
1236,387158,20000,7,30,1,2,1,90,123,5,1,2,50,328,0,4,2,1,0,0,1,8,0,0,0,0,1,11,11,0,1,0
1494,1193605,50000,64,46,4,4,2,81,87,20,16,4,56,84,0,2,0,89,10,6,7,5,0,0,0,1,0,24,24,2,1,0
1308,157010,20000,9,23,0,0,0,5,24,0,0,0,1,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1910,535303,30000,4,38,0,1,0,4,35,2,2,6,14,53,0,1,6,0,0,0,1,3,0,0,0,0,0,2,2,0,0,0
2200,112887,20000,0,4,0,0,0,0,10,1,1,1,4,11,0,1,0,5,1,1,0,0,0,0,0,0,0,11,11,3,2,0
1793,188812,20000,11,17,0,0,0,2,12,1,0,1,11,40,0,0,5,0,2,0,0,3,0,1,0,0,0,5,5,1,0,0
1642,292878,20000,21,87,9,52,3,86,216,34,68,9,50,301,4,5,1,4,2,1,4,44,0,0,0,0,0,33,33,0,2,1
1866,471389,20000,4,46,1,0,0,26,24,3,2,1,33,113,0,0,2,3,2,0,0,3,1,0,0,0,0,0,0,1,0,0
1048,136604,20000,32,142,9,21,4,67,312,54,49,1,77,411,2,8,1,4,8,1,2,68,0,0,0,0,1,1,1,0,0,2
1159,183982,20000,0,10,0,0,0,3,7,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
1197476,157532,20000,27,101,2,2,0,25,71,2,2,1,45,289,2,1,0,1,5,0,0,7,0,0,0,0,0,2,2,0,0,0
1108,781023,30000,11,19,1,1,0,6,22,3,1,6,16,46,0,1,3,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0
1878,160000,20000,1,6,1,1,2,2,7,0,1,3,6,12,1,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0
1787,109163,20000,2,2,0,0,0,2,7,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,321789,20000,1,45,0,0,0,6,45,0,0,2,8,95,0,0,3,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0
1887,489505,20000,6,18,0,0,0,18,29,2,0,2,9,35,0,2,2,1,4,0,1,1,0,0,0,0,0,6,6,0,0,0
1066,111424,20000,7,1,0,0,0,0,5,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,354692,20000,4,13,0,0,0,6,5,0,0,0,1,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,116917,20000,3,32,0,0,0,6,27,0,0,0,2,13,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0
1052,108360,20000,0,5,0,0,0,2,7,1,0,0,5,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2502,111391,20000,0,9,0,0,0,1,7,0,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1743,114269,20000,11,10,0,0,0,2,10,0,0,0,6,35,0,0,0,0,4,0,0,1,0,0,0,0,0,2,2,0,0,0
4140,162592,20000,78,163,24,81,138,112,104,55,98,112,27,128,15,74,240,11,11,5,39,367,0,0,0,1,48,21,21,2,29,3
4770,179179,20000,86,172,27,77,125,102,131,56,105,87,30,139,14,70,232,3,8,7,37,399,0,0,0,1,61,48,48,8,55,6
3100,162779,20000,73,162,27,91,140,106,121,36,103,115,24,131,14,66,247,7,5,5,30,415,0,1,0,1,51,25,25,5,40,4
3750,222326,20000,85,159,23,16,143,89,140,11,12,81,129,74,9,7,192,20,9,16,9,427,0,0,0,0,12,17,17,4,20,2
132781,289440,20000,86,159,24,16,148,89,144,12,12,84,131,79,9,7,196,16,9,18,9,429,0,0,0,0,12,18,18,4,20,2
3158,132493,20000,158,64,6,5,164,54,55,9,8,74,98,119,5,2,251,8,6,3,8,462,0,1,0,0,16,37,37,7,53,1
132768,100316,20000,191,126,3,3,106,27,43,7,4,20,62,60,3,3,128,7,5,2,4,235,0,0,0,0,4,16,16,3,2,2
3676,204846,20000,64,48,8,16,80,88,117,9,12,54,117,89,4,13,122,2,12,2,11,449,0,0,0,0,1,37,37,3,6,1
1996,154076,20000,51,382,6,7,47,95,178,20,28,49,122,135,6,12,166,1,25,5,2,459,0,5,1,0,9,57,57,28,22,4
132737,154076,20000,51,382,6,7,47,94,177,20,28,47,121,135,6,12,160,1,25,5,2,459,0,5,1,0,9,56,56,27,22,4
2534,1840573,50000,62,182,30,84,134,50,138,46,115,121,16,144,16,63,244,0,2,3,20,471,1,7,0,1,84,102,102,19,72,8
4299,1295714,50000,61,52,6,2,6,36,142,54,21,13,98,220,5,10,10,49,43,13,6,30,1,3,3,0,6,81,81,42,12,2
5657,100617,20000,4,4,0,0,4,3,10,2,2,5,2,21,3,2,5,0,4,1,0,13,0,0,1,0,2,0,0,2,0,0
5499,2360241,50000,62,88,4,6,16,59,165,23,29,31,93,341,26,5,32,7,31,4,20,417,1,5,0,1,14,91,91,8,11,7
133157,153075,20000,2,9,1,0,1,1,9,8,3,1,4,3,0,0,2,0,1,0,0,2,0,0,0,0,0,10,10,6,5,0
5042,381488,20000,4,54,10,16,2,37,141,41,26,4,32,114,7,4,5,4,14,1,2,83,0,1,1,0,2,11,11,17,7,1
4282,136828,20000,1,14,0,2,0,13,20,2,8,2,12,18,0,1,0,1,13,0,1,11,0,0,0,0,0,6,6,3,2,0
5893,226034,20000,6,11,1,0,2,11,17,4,3,3,9,32,1,0,6,1,4,1,0,14,0,0,1,0,3,2,2,1,1,5
5493,638090,30000,10,24,0,0,0,4,43,6,7,3,13,64,4,0,0,4,12,0,5,14,0,0,0,1,0,143,143,6,7,2
5345,222356,20000,6,26,2,1,0,7,24,4,6,5,6,34,4,0,3,2,7,1,2,13,0,0,0,0,0,12,12,1,3,0
133205,163000,20000,1,13,1,0,3,0,5,0,1,1,6,18,0,0,5,0,0,0,0,26,0,0,0,1,0,4,4,0,0,0
4034,106153,20000,4,13,0,0,0,1,21,3,3,4,14,24,0,1,3,1,4,0,0,11,0,2,0,0,0,0,0,0,1,0
5000,282673,20000,7,22,0,2,4,5,30,2,2,3,27,122,7,1,0,0,4,0,0,29,0,0,0,0,3,17,17,3,3,0
4970,4529500,50000,61,164,9,6,15,49,316,26,38,56,108,328,10,13,34,13,187,9,19,229,1,1,3,2,53,75,75,7,13,3
4383,308308,20000,16,12,0,2,4,19,30,2,3,7,29,60,1,0,3,11,10,0,0,24,2,0,0,0,3,18,18,2,1,0
132856,136828,20000,1,13,0,2,0,13,21,2,7,2,12,19,0,1,0,0,5,0,1,11,0,0,0,0,0,4,4,3,1,0
4835,2039200,50000,28,72,9,6,14,86,261,59,46,32,82,164,11,16,21,44,121,6,11,278,0,2,1,2,6,160,160,43,16,9
132927,108022,20000,0,7,3,0,0,8,14,6,1,0,0,10,0,0,0,3,7,0,0,6,0,0,0,0,0,20,20,3,2,2
4935,4840600,50000,251,178,25,12,31,86,257,41,59,45,114,313,12,20,40,8,72,5,18,395,0,0,0,3,61,160,160,27,29,41
133094,135631,20000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4226,196219,20000,1,3,1,0,1,6,24,3,6,3,4,18,1,0,7,2,1,0,0,15,0,0,0,0,1,25,25,1,2,1
5276,292190,20000,10,36,0,1,0,21,23,4,1,1,19,33,0,2,1,10,14,2,2,12,0,0,0,1,4,17,17,9,2,1
6801,1116513,50000,84,185,21,21,4,67,110,17,45,1,28,75,7,46,4,57,4,4,13,3,0,0,0,0,0,91,91,0,0,1
6504,313300,20000,21,10,1,4,0,20,13,1,6,0,0,3,6,13,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
133381,370000,20000,44,97,21,14,3,55,78,17,42,1,12,45,5,42,4,0,4,4,12,3,0,0,0,0,0,10,10,0,0,0
6136,240300,20000,6,22,0,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133384,184900,20000,52,114,21,15,3,56,79,17,42,1,13,44,5,42,4,0,4,4,12,3,0,0,0,0,0,5,5,0,0,0
6777,185400,20000,2,4,0,5,2,0,9,0,2,1,1,2,0,7,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
6588,341200,20000,8,31,0,1,0,6,9,0,2,0,3,11,0,0,0,56,0,0,0,0,0,0,0,0,0,45,45,0,0,0
6602,127400,20000,23,12,0,0,0,9,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6619,221106,20000,21,34,0,5,1,7,11,1,5,1,20,27,1,17,18,0,2,0,0,2,0,0,0,0,0,1,1,3,0,0
133416,114663,20000,14,52,0,0,0,6,1,0,1,0,17,30,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6389,104518,20000,63,17,1,4,4,15,33,0,4,1,26,29,1,1,21,8,9,0,3,4,0,0,0,0,0,15,15,2,1,0
6264,696731,30000,135,111,7,14,15,34,44,12,17,15,62,144,8,10,28,63,8,3,3,39,0,0,0,0,3,16,16,5,9,0
6680,142486,20000,25,51,2,0,0,6,19,1,0,0,29,44,3,5,0,2,5,0,0,0,0,0,0,0,0,8,8,1,1,0
6694,164423,20000,12,38,0,1,0,6,7,0,1,0,16,39,2,1,3,17,1,0,0,0,0,0,0,0,0,10,10,1,0,0
133464,230000,20000,8,2,0,0,0,2,2,1,0,0,11,86,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6599,230000,20000,10,4,0,0,0,2,2,1,0,0,10,68,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6737,105457,20000,2,5,0,1,0,1,6,0,0,0,3,35,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133512,400983,20000,2,8,0,0,0,0,6,0,0,0,4,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133510,2840498,50000,5,13,1,1,0,1,8,1,2,0,7,94,2,3,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0
133523,3920222,50000,9,29,6,1,0,15,16,4,9,0,29,455,8,7,1,1,0,3,2,0,0,0,0,0,0,2,2,3,1,0
133471,389411,20000,3,6,0,2,1,2,4,1,1,0,10,91,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133491,253788,20000,2,2,0,0,0,0,2,2,0,0,6,38,0,1,0,2,0,0,0,0,0,0,0,0,0,6,6,2,0,0
6903,253788,20000,2,1,0,0,0,0,2,1,0,0,5,32,1,1,0,2,0,0,0,0,0,0,0,0,0,6,6,2,0,0
133468,10356500,50000,55,135,8,19,1,41,107,9,20,0,85,403,7,4,0,3,2,10,8,0,0,0,0,0,0,8,8,0,2,0
133499,206234,20000,0,7,0,0,0,0,0,1,0,0,2,34,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0
6132,206234,20000,0,7,0,0,0,0,0,2,0,0,2,26,1,1,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0
133522,112187,20000,0,0,0,0,0,0,4,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6946,112187,20000,0,0,0,0,0,1,4,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133504,167900,20000,3,1,0,0,0,0,0,0,0,0,4,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6090,167900,20000,3,0,0,0,0,0,0,0,0,0,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133517,243987,20000,3,2,0,0,0,2,5,0,0,0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133486,1342339,50000,3,38,1,0,0,0,7,1,1,0,18,480,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0
133463,135724,20000,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133470,258040,20000,3,1,0,0,0,3,6,0,1,0,5,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133494,223622,20000,14,32,2,6,0,8,35,4,3,0,53,399,3,10,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0
6790,281080,20000,0,2,0,0,0,0,2,0,0,0,4,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133501,369138,20000,3,4,0,0,0,0,0,0,0,0,4,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6103,142361,20000,1,1,0,0,0,0,2,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6776,223622,20000,25,71,5,16,1,16,43,6,10,0,70,410,5,13,0,0,1,6,5,0,0,0,0,0,0,0,0,0,1,0
133500,186781,20000,0,3,0,0,0,0,1,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6282,159406,20000,1,4,0,0,0,0,0,0,0,0,2,38,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6836,186781,20000,0,8,0,0,0,0,7,0,0,0,2,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6752,192464,20000,0,0,0,0,0,0,1,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133465,700133,30000,2,15,0,1,0,1,4,0,2,0,4,85,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
133505,343122,20000,0,5,0,0,0,2,3,0,2,0,6,72,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6846,700133,30000,2,15,0,1,0,1,4,0,2,0,4,84,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
6190,199422,20000,0,5,0,0,0,0,1,0,0,0,4,15,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
133487,128918,20000,0,2,0,0,0,0,0,0,0,0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133492,107419,20000,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6827,378701,20000,2,7,1,0,1,0,6,0,0,0,3,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6199,102420,20000,1,2,0,0,0,0,1,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133524,127481,20000,1,4,0,0,0,0,1,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
6095,130000,20000,3,12,1,3,0,2,15,0,0,0,12,203,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133472,479837,20000,6,1,1,0,0,3,1,3,1,0,11,81,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6693,128918,20000,0,1,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
