cityId,population,searchRadius,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
659,1000000,30000,12,19,0,0,0,144,76,2,2,0,261,53,5,0,0,15,1,4,7,0,0,0,0,0,0,75,75,1,0,0
757530,490035,20000,6,7,2,0,2,32,77,3,1,0,443,53,1,3,0,8,0,0,0,0,0,0,0,0,0,83,83,1,0,0
638,490035,20000,6,8,2,0,1,32,83,3,1,0,438,58,1,3,0,8,0,0,0,0,0,0,0,0,0,81,81,1,0,0
644,631005,30000,11,8,2,2,9,4,10,1,4,0,367,21,0,2,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,1
262,2502715,50000,15,31,4,3,1,125,259,12,14,0,404,84,6,6,0,8,4,37,32,0,0,0,0,0,0,194,194,3,2,1
345009,243341,20000,11,14,0,0,0,73,51,0,0,0,216,47,5,0,0,12,1,2,4,0,0,0,0,0,0,25,25,1,0,0
35,351943,20000,3,5,1,0,1,4,5,0,0,0,176,10,0,0,0,1,2,0,0,0,0,0,0,0,0,30,30,1,0,0
900,1400000,50000,18,32,5,3,2,127,239,12,14,0,433,63,1,3,0,8,3,37,32,0,0,0,0,0,0,252,252,1,2,1
491,122034,20000,6,12,2,4,3,6,3,1,2,1,2,9,1,2,2,0,6,0,1,11,0,0,0,0,0,9,9,1,2,0
709,100903,20000,9,7,0,1,6,1,1,0,1,0,11,2,0,2,5,9,6,1,1,38,0,0,0,0,0,119,119,0,0,0
25,112276,20000,41,37,5,5,4,18,20,3,3,2,23,43,2,6,2,250,119,5,1,96,0,0,0,0,0,374,374,1,3,0
839,418495,20000,21,63,3,8,11,47,37,5,16,5,9,25,2,6,7,14,13,2,3,128,0,0,0,0,0,344,344,0,3,0
238,130827,20000,14,6,2,1,5,2,2,0,1,0,1,11,2,0,2,16,1,0,0,32,0,0,0,0,0,265,265,0,2,0
392,148381,20000,35,41,1,5,3,12,11,1,4,6,10,17,0,3,4,79,4,0,0,1,0,0,0,0,0,2,2,0,0,0
30,101098,20000,12,3,2,0,0,2,5,0,4,2,4,7,0,1,2,4,0,0,0,1,0,0,0,0,0,9,9,5,1,0
188,1075800,50000,268,107,11,47,52,73,68,39,92,38,57,75,2,21,50,94,38,2,8,31,0,0,0,0,1,59,59,27,24,1
1607,301572,20000,2,32,0,0,0,7,19,4,0,2,11,41,0,0,0,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0
2545,152198,20000,17,145,51,269,6,47,269,57,88,22,69,383,10,29,4,8,19,5,23,167,0,0,0,0,1,12,12,0,1,5
