countryCode,flagLink
ME,https://restcountries.eu/data/mne.svg
MS,https://restcountries.eu/data/msr.svg
MA,https://restcountries.eu/data/mar.svg
MZ,https://restcountries.eu/data/moz.svg
MM,https://restcountries.eu/data/mmr.svg
NA,https://restcountries.eu/data/nam.svg
NR,https://restcountries.eu/data/nru.svg
NP,https://restcountries.eu/data/npl.svg
NL,https://restcountries.eu/data/nld.svg
NC,https://restcountries.eu/data/ncl.svg
NZ,https://restcountries.eu/data/nzl.svg
NI,https://restcountries.eu/data/nic.svg
NE,https://restcountries.eu/data/ner.svg
NG,https://restcountries.eu/data/nga.svg
NU,https://restcountries.eu/data/niu.svg
NF,https://restcountries.eu/data/nfk.svg
KP,https://restcountries.eu/data/prk.svg
MP,https://restcountries.eu/data/mnp.svg
NO,https://restcountries.eu/data/nor.svg
OM,https://restcountries.eu/data/omn.svg
PK,https://restcountries.eu/data/pak.svg
PW,https://restcountries.eu/data/plw.svg
PS,https://restcountries.eu/data/pse.svg
PA,https://restcountries.eu/data/pan.svg
PG,https://restcountries.eu/data/png.svg
PY,https://restcountries.eu/data/pry.svg
PE,https://restcountries.eu/data/per.svg
PH,https://restcountries.eu/data/phl.svg
PN,https://restcountries.eu/data/pcn.svg
PL,https://restcountries.eu/data/pol.svg
PT,https://restcountries.eu/data/prt.svg
PR,https://restcountries.eu/data/pri.svg
QA,https://restcountries.eu/data/qat.svg
XK,https://restcountries.eu/data/kos.svg
RE,https://restcountries.eu/data/reu.svg
RO,https://restcountries.eu/data/rou.svg
RU,https://restcountries.eu/data/rus.svg
RW,https://restcountries.eu/data/rwa.svg
BL,https://restcountries.eu/data/blm.svg
SH,https://restcountries.eu/data/shn.svg
KN,https://restcountries.eu/data/kna.svg
LC,https://restcountries.eu/data/lca.svg
MF,https://restcountries.eu/data/maf.svg
PM,https://restcountries.eu/data/spm.svg
VC,https://restcountries.eu/data/vct.svg
WS,https://restcountries.eu/data/wsm.svg
SM,https://restcountries.eu/data/smr.svg
ST,https://restcountries.eu/data/stp.svg
SA,https://restcountries.eu/data/sau.svg
SN,https://restcountries.eu/data/sen.svg
RS,https://restcountries.eu/data/srb.svg
SC,https://restcountries.eu/data/syc.svg
SL,https://restcountries.eu/data/sle.svg
SG,https://restcountries.eu/data/sgp.svg
SX,https://restcountries.eu/data/sxm.svg
SK,https://restcountries.eu/data/svk.svg
SI,https://restcountries.eu/data/svn.svg
SB,https://restcountries.eu/data/slb.svg
SO,https://restcountries.eu/data/som.svg
ZA,https://restcountries.eu/data/zaf.svg
GS,https://restcountries.eu/data/sgs.svg
KR,https://restcountries.eu/data/kor.svg
SS,https://restcountries.eu/data/ssd.svg
ES,https://restcountries.eu/data/esp.svg
LK,https://restcountries.eu/data/lka.svg
SD,https://restcountries.eu/data/sdn.svg
SR,https://restcountries.eu/data/sur.svg
SJ,https://restcountries.eu/data/sjm.svg
SZ,https://restcountries.eu/data/swz.svg
SE,https://restcountries.eu/data/swe.svg
CH,https://restcountries.eu/data/che.svg
SY,https://restcountries.eu/data/syr.svg
TW,https://restcountries.eu/data/twn.svg
TJ,https://restcountries.eu/data/tjk.svg
TZ,https://restcountries.eu/data/tza.svg
TH,https://restcountries.eu/data/tha.svg
TL,https://restcountries.eu/data/tls.svg
TG,https://restcountries.eu/data/tgo.svg
TK,https://restcountries.eu/data/tkl.svg
TO,https://restcountries.eu/data/ton.svg
TT,https://restcountries.eu/data/tto.svg
TN,https://restcountries.eu/data/tun.svg
TR,https://restcountries.eu/data/tur.svg
TM,https://restcountries.eu/data/tkm.svg
TC,https://restcountries.eu/data/tca.svg
TV,https://restcountries.eu/data/tuv.svg
UG,https://restcountries.eu/data/uga.svg
UA,https://restcountries.eu/data/ukr.svg
AE,https://restcountries.eu/data/are.svg
GB,https://restcountries.eu/data/gbr.svg
US,https://restcountries.eu/data/usa.svg
UY,https://restcountries.eu/data/ury.svg
UZ,https://restcountries.eu/data/uzb.svg
VU,https://restcountries.eu/data/vut.svg
VE,https://restcountries.eu/data/ven.svg
VN,https://restcountries.eu/data/vnm.svg
WF,https://restcountries.eu/data/wlf.svg
EH,https://restcountries.eu/data/esh.svg
YE,https://restcountries.eu/data/yem.svg
ZM,https://restcountries.eu/data/zmb.svg
ZW,https://restcountries.eu/data/zwe.svg
