cityId,searchRadius,beach_Index
659,10000,46
757530,5000,2
638,5000,19
644,10000,0
262,15000,9
345009,5000,3
35,5000,26
900,15000,69
134,5000,0
140,5000,0
364,5000,0
504,5000,0
779,5000,0
116,5000,0
216,15000,0
953,5000,0
810,5000,0
803,5000,0
437,5000,0
756,5000,0
428,5000,0
686,5000,0
491,5000,5
709,5000,0
25,5000,2
839,5000,0
238,5000,2
392,5000,0
30,5000,0
188,15000,0
132180,5000,0
1845,10000,3
1982,5000,8
997,5000,0
1662,5000,0
1732,5000,0
1724,10000,0
1172,5000,2
1040,15000,18
1151,5000,0
132023,5000,0
1862,5000,0
1981,5000,0
1618,5000,0
1446,5000,2
1156,5000,0
1501,5000,0
1607,5000,0
2545,5000,0
1783,5000,5
1610,5000,1
1892,5000,0
1960,15000,5
1680,5000,4
1170,5000,8
1932,5000,12
1474,15000,0
132626,5000,0
132523,5000,0
132534,5000,0
132500,5000,0
132484,5000,0
132482,5000,0
132389,5000,0
1767,5000,0
1908,5000,0
1515,5000,0
1022,5000,10
1531,5000,0
1491876,5000,0
1119,5000,0
1964,5000,0
1244,10000,0
1451,5000,0
1552,5000,0
1073,5000,0
1718,5000,0
1466,10000,42
1144,10000,0
1619,5000,0
1598,5000,0
1963,5000,2
1400,5000,4
132315,10000,0
132320,5000,0
132651,5000,0
132330,5000,0
132294,5000,0
132283,5000,0
132679,5000,0
132290,5000,0
132275,10000,0
132690,5000,0
132674,5000,0
132267,5000,0
132245,15000,0
132263,10000,0
132260,5000,0
132236,10000,0
132681,5000,0
132258,10000,0
132254,5000,0
132238,5000,0
132461,5000,0
132221,10000,5
132200,5000,6
132208,5000,0
132669,5000,0
132375,5000,0
132195,5000,0
132188,5000,7
132191,5000,0
132183,5000,0
1187,5000,0
1444,5000,5
1488,5000,1
1549,5000,0
1236,5000,0
1494,15000,45
1308,5000,0
1910,10000,0
2200,5000,5
1793,5000,3
1642,5000,4
1866,5000,0
1048,5000,0
1159,5000,0
1197476,5000,0
1108,10000,0
1878,5000,2
1787,5000,0
1409,5000,0
1887,5000,10
1066,5000,0
1500,5000,0
1398,5000,0
1052,5000,0
2502,5000,2
1743,5000,2
4140,5000,9
4770,5000,0
3100,5000,7
3750,5000,0
132781,5000,1
3158,5000,0
132768,5000,0
3676,5000,5
1996,5000,0
132737,5000,0
2534,15000,16
4299,15000,22
5657,5000,0
5499,15000,4
133157,5000,1
5042,5000,0
4282,5000,10
5893,5000,7
5493,10000,18
5345,5000,4
133205,5000,0
4034,5000,0
5000,5000,0
4970,15000,30
4383,5000,24
132856,5000,0
4835,15000,51
132927,5000,10
4935,15000,149
133094,5000,0
4226,5000,9
5276,5000,5
6801,15000,9
6504,5000,0
133381,5000,0
6136,5000,2
133384,5000,0
6777,5000,0
6588,5000,5
6602,5000,0
6619,5000,0
133416,5000,0
6389,5000,2
6264,10000,0
6680,5000,2
6694,5000,3
6085,5000,17
133464,5000,0
6599,5000,0
6737,5000,0
133512,5000,0
133510,15000,0
133523,15000,1
133471,5000,0
133491,5000,0
6903,5000,0
133468,15000,0
133499,5000,2
6132,5000,0
133522,5000,0
6946,5000,0
133504,5000,0
6090,5000,0
133517,5000,0
133486,15000,0
133463,5000,0
133470,5000,0
133494,5000,0
6790,5000,0
133501,5000,0
6103,5000,0
6776,5000,0
133500,5000,0
6282,5000,0
6836,5000,0
6752,5000,0
133465,10000,1
133505,5000,0
6846,10000,1
6190,5000,0
133487,5000,0
133492,5000,0
6827,5000,0
6199,5000,0
133524,5000,0
6095,5000,0
133472,5000,0
6693,5000,0
133466,5000,0
6606,5000,0
6133,5000,0
7296,5000,0
7584,10000,1
6971,5000,0
7918,15000,0
7213,5000,0
7479,5000,3
6766,5000,0
6407,5000,0
6470,5000,0
7932,5000,0
7153,15000,0
7148,5000,8
6989,5000,0
