cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
56778,20000,7,7,93,2,0,36
57200,20000,168,333,931,25,5,23
57513,20000,0,4,6,0,0,0
147737,20000,2,2,3,6,0,0
147726,50000,74,25,263,6,0,0
56809,20000,3,0,0,0,0,0
57353,30000,19,86,607,0,0,0
147829,20000,3,0,6,6,0,0
147731,20000,0,0,4,0,0,0
57189,20000,5,4,16,1,0,0
147730,20000,0,1,5,1,0,0
57448,20000,0,0,1,0,0,0
57328,20000,1,21,39,0,0,0
147901,50000,50,29,172,15,0,15
57627,20000,0,0,0,0,0,0
57095,20000,4,7,76,2,0,24
56816,20000,0,0,0,0,0,0
57378,20000,56,10,60,22,0,0
147715,20000,4,0,2,0,0,0
57373,20000,0,0,2,0,0,0
56887,20000,44,17,133,0,0,0
57404,20000,42,28,106,37,0,3
57485,20000,0,0,41,0,0,0
56943,20000,0,2,16,0,0,0
57510,20000,120,289,379,69,0,10
147699,20000,10,7,29,0,0,0
147711,30000,4,0,13,0,0,0
147868,20000,1,3,29,0,0,0
56962,20000,1,3,30,0,0,0
147704,20000,0,0,1,0,0,0
57356,20000,0,0,1,0,0,0
147684,20000,6,2,9,0,0,0
57522,20000,12,0,4,4,0,0
55817,20000,0,0,10,0,0,0
56819,20000,0,0,2,0,0,0
147703,20000,0,0,13,0,0,4
57700,50000,256,580,933,34,0,26
57602,20000,0,0,6,0,0,0
57667,20000,0,0,0,0,0,0
57671,20000,40,25,96,25,0,3
57729,20000,3,14,68,0,0,4
147686,20000,0,0,2,0,0,0
56894,20000,0,0,27,4,0,0
57276,30000,13,2,22,10,0,4
57419,30000,137,177,790,39,0,136
57463,30000,5,45,164,0,0,3
147687,20000,2,0,0,0,0,0
57201,50000,264,382,963,126,72,235
147697,50000,9,0,18,12,0,0
57422,20000,3,0,5,6,0,0
56941,50000,43,88,108,7,0,19
147696,50000,43,92,102,7,0,10
57465,30000,29,56,483,0,0,8
57722,20000,19,14,30,9,0,7
56857,20000,9,0,0,0,0,0
147689,20000,0,5,21,0,0,0
57197,20000,40,29,76,31,0,3
147694,30000,19,2,106,6,0,7
147680,20000,1,0,0,0,0,0
56812,20000,0,8,111,0,0,0
147679,20000,0,0,10,0,0,0
56458,20000,12,14,20,26,0,0
56447,20000,24,6,38,11,0,0
147682,20000,0,0,0,0,0,0
56729,20000,2,0,16,0,0,0
56768,30000,4,10,31,0,0,3
147695,20000,2,0,16,0,0,0
147681,20000,6,0,6,0,0,0
147786,20000,0,0,10,0,0,0
56635,20000,0,0,4,0,0,0
147821,30000,0,0,15,0,0,0
55865,30000,188,243,973,81,52,145
56045,20000,0,0,4,0,0,0
