countryCode,cpiRentIndex,cpiIndex,groceriesIndex,purchasingPowerIndex,restaurantIndex,rentIndex,safetyIndex,crimeIndex
CH,87.10750893757482,121.16155823998534,120.8062136976583,129.70494765613452,123.09197711939174,50.24683514719018,78.49937307479956,21.500626925200432
IS,76.1278489203562,101.85780335388431,92.10177794364132,91.80210100075298,111.84780642484296,48.277314947334474,76.71517139630555,23.28482860369446
NO,70.39529384438973,100.99331125924896,92.67149900319419,103.60983579647483,111.53154060400465,37.275486900262266,64.6831491952443,35.31685080475569
LU,71.46603442922647,86.09020593966504,75.09591878433332,106.26441554026573,96.08343454414343,55.63658605103444,70.93240651565924,29.067593484340776
JP,56.74767990715136,83.33165437556495,83.58326486958558,103.11819439612677,48.75196228373169,27.97274033299784,86.27287685943087,13.72712314056913
DK,58.105903131146775,81.38339996785098,63.623433573437595,114.3945248947878,95.1385707418747,32.90995036984831,75.75077262503325,24.249227374966758
HK,77.50619236662148,78.1354103975027,80.3028797232495,69.33516079786227,56.07833683305423,76.82511622283087,80.68296386963273,19.31703613036727
KR,50.66398841825216,76.93385745968206,89.70401830430171,103.40327581576467,44.842247358149756,22.22904182340685,65.9544686022315,34.045531397768485
IE,59.238801224538996,75.34934101726925,59.095776405950595,95.09228099957318,82.64621428067397,41.80048290258819,55.48086634027027,44.51913365972973
FR,51.512990206870434,74.85470210167782,68.31259045669576,91.55178420050008,75.36982787628767,26.24752999028665,53.61441818398886,46.38558181601115
NL,55.580922368377905,74.83285242064571,58.80099144891695,102.53792085648942,83.48685711083228,34.74231057246104,71.42864956819577,28.571350431804223
IL,52.73525722963575,74.27929591372339,61.920505785552294,92.48066408417209,80.83340439144573,29.415628629539437,67.84479082747309,32.155209172526895
BE,50.32166225031652,72.97062225878118,60.85673833880831,95.08955042487342,83.40333351800093,25.806048287650768,57.54440385787848,42.45559614212153
FI,50.40253155706156,72.81865832891403,60.01702370659054,112.30039267596375,77.90626395418184,26.138940192534044,77.19551649215506,22.804483507844928
NZ,52.93976747134829,72.61856100316169,65.70563548887111,101.09154930386744,68.77534672540345,31.6391114899417,60.44600231350329,39.55399768649671
