cityId,searchRadius,population,mCountLevel0,mCountLevel1,mCountLevel2,mCountLevel3,mCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7
659,30000,1000000,0,0,0,0,0,0,0,0,0,0
757530,20000,490035,0,0,0,0,0,0,0,0,0,0
638,20000,490035,0,0,0,0,0,0,0,0,0,0
644,30000,631005,0,21,0,0,1,0,0,0,0,0
262,50000,2502715,0,4,0,0,0,0,0,0,0,0
345009,20000,243341,0,0,0,0,0,0,0,0,0,0
35,20000,351943,0,1,1,0,0,0,0,0,0,0
900,50000,1400000,0,1,0,0,0,0,0,0,0,0
491,20000,122034,0,0,0,1,0,0,0,0,1,0
709,20000,100903,119,26,0,0,0,0,0,0,0,0
25,20000,112276,380,118,0,2,0,0,0,0,0,0
839,20000,418495,344,154,0,2,0,0,0,0,0,0
238,20000,130827,243,80,0,1,0,0,0,0,0,0
392,20000,148381,2,1,0,0,0,0,0,0,0,0
30,20000,101098,9,24,5,0,0,0,0,0,0,0
188,50000,1075800,33,21,24,21,0,0,0,0,1,0
1607,20000,301572,0,0,0,0,0,0,0,0,0,0
2545,20000,152198,0,0,0,0,0,0,0,0,0,0
1783,20000,138942,0,0,0,0,0,0,0,0,0,0
1610,20000,167498,0,0,0,0,0,0,0,0,0,0
1892,20000,101123,0,0,0,0,0,0,0,0,0,0
1960,50000,13076300,0,0,0,0,0,0,0,0,0,0
1680,20000,217593,0,9,0,3,0,0,0,0,0,0
1170,20000,149450,0,0,0,0,0,0,0,0,0,0
1932,20000,352646,0,0,0,1,0,0,0,0,0,0
1474,50000,1428214,0,33,0,1,0,0,0,0,0,0
132626,20000,116511,0,3,1,0,0,0,0,0,0,0
132523,20000,182977,0,3,1,0,0,0,0,0,0,0
132534,20000,283803,0,0,0,0,0,0,0,0,0,0
132500,20000,182962,1,5,0,0,0,0,0,0,0,0
132484,20000,104470,0,12,0,0,0,0,0,0,0,0
132482,20000,153600,0,0,0,0,0,0,0,0,0,0
132389,20000,108448,0,0,0,0,0,0,0,0,0,0
1767,20000,146704,0,0,0,0,0,0,0,0,0,0
1908,20000,222226,0,0,0,0,0,0,0,0,0,0
1515,20000,191299,0,2,1,0,0,0,0,0,0,0
1022,20000,109461,0,0,0,0,0,0,0,0,0,0
1531,20000,135275,0,0,0,0,0,0,0,0,0,0
1491876,20000,230208,0,0,0,0,0,0,0,0,0,0
1119,20000,160219,0,0,0,0,0,0,0,0,0,0
1964,20000,106441,0,0,0,0,0,0,0,0,0,0
1244,30000,694167,0,0,0,0,0,0,0,0,0,0
1451,20000,180995,0,2,0,0,0,0,0,0,0,0
1552,20000,459263,0,0,0,0,0,0,0,0,0,0
1073,20000,203507,0,3,1,0,0,0,0,0,0,0
1718,20000,111897,0,0,0,0,0,0,0,0,0,0
1466,30000,860000,1,0,0,0,0,0,0,0,0,0
1144,30000,876884,0,6,1,0,0,0,0,0,0,0
1619,20000,244168,0,0,0,0,0,0,0,0,0,0
1598,20000,319934,0,0,0,0,0,0,0,0,0,0
1963,20000,242092,0,2,0,0,0,0,0,0,0,0
1400,20000,262295,0,0,0,0,0,0,0,0,0,0
132315,30000,555731,0,0,0,0,0,0,0,0,0,0
132320,20000,340985,0,0,0,0,0,0,0,0,0,0
132651,20000,301572,0,0,0,0,0,0,0,0,0,0
132330,20000,320224,0,0,0,0,0,0,0,0,0,0
132294,20000,178155,0,0,0,0,0,0,0,0,0,0
132283,20000,298814,0,0,0,0,0,0,0,0,0,0
132679,20000,118807,0,0,0,0,0,0,0,0,0,0
132290,20000,423992,0,0,0,0,0,0,0,0,0,0
132275,30000,564056,1,0,0,0,0,0,0,0,0,0
132690,20000,176505,0,0,0,0,0,0,0,0,0,0
132674,20000,158121,0,0,0,0,0,0,0,0,0,0
132267,20000,230208,0,0,0,0,0,0,0,0,0,0
132245,50000,1775816,0,0,0,0,0,0,0,0,0,0
132263,30000,774369,0,0,0,0,0,0,0,0,0,0
132260,20000,212152,0,0,0,0,0,0,0,0,0,0
132236,30000,613192,0,0,0,0,0,0,0,0,0,0
132681,20000,320000,0,0,0,0,0,0,0,0,0,0
132258,30000,524207,0,0,0,0,0,0,0,0,0,0
132254,20000,462242,0,0,0,0,0,0,0,0,0,0
132238,20000,321109,0,0,0,0,0,0,0,0,0,0
132461,20000,103961,0,0,0,0,0,0,0,0,0,0
132221,30000,518788,0,0,0,0,0,0,0,0,0,0
132200,20000,163462,0,0,0,0,0,0,0,0,0,0
132208,20000,292878,0,0,0,0,0,0,0,0,0,0
132669,20000,253086,0,0,0,0,0,0,0,0,0,0
132375,20000,137867,0,0,0,0,0,0,0,0,0,0
132195,20000,108109,0,10,0,1,0,0,0,0,0,0
132188,20000,380709,0,0,0,0,0,0,0,0,0,0
132191,20000,343774,0,0,0,0,0,0,0,0,0,0
132183,20000,114269,0,0,0,0,0,0,0,0,0,0
1187,20000,226517,0,0,0,0,0,0,0,0,0,0
1444,20000,323739,0,0,0,0,0,0,0,0,0,0
1488,20000,111447,0,0,0,0,0,0,0,0,0,0
1549,20000,230810,0,0,0,0,0,0,0,0,0,0
1236,20000,387158,0,0,0,1,0,0,0,0,0,0
1494,50000,1193605,0,0,0,0,0,0,0,0,0,0
1308,20000,157010,0,0,0,0,0,0,0,0,0,0
1910,30000,535303,1,12,0,0,0,0,0,0,0,0
2200,20000,112887,1,14,3,1,0,0,0,0,0,0
1793,20000,188812,0,1,1,0,0,0,0,0,0,0
1642,20000,292878,0,0,0,0,0,0,0,0,0,0
1866,20000,471389,0,3,1,0,0,0,0,0,0,0
1048,20000,136604,0,0,0,0,0,0,0,0,0,0
1159,20000,183982,0,1,0,0,0,0,0,0,0,0
1197476,20000,157532,0,0,0,0,0,0,0,0,0,0
1108,30000,781023,0,10,0,0,0,0,0,1,0,0
1878,20000,160000,0,0,0,0,0,0,0,0,0,0
1787,20000,109163,0,0,0,0,0,0,0,0,0,0
1409,20000,321789,0,9,0,0,0,0,0,0,0,0
1887,20000,489505,0,0,0,0,0,0,0,0,0,0
1066,20000,111424,0,0,0,0,0,0,0,0,0,0
1500,20000,354692,0,0,0,0,0,0,0,0,0,0
1398,20000,116917,0,10,1,1,0,0,0,0,0,0
1052,20000,108360,0,0,0,0,0,0,0,0,0,0
2502,20000,111391,0,0,0,0,0,0,0,0,0,0
1743,20000,114269,0,0,0,0,0,0,0,0,0,0
4140,20000,162592,5,14,2,26,0,0,0,0,0,0
4770,20000,179179,19,45,7,47,1,0,0,0,0,0
3100,20000,162779,7,32,5,36,0,0,0,0,0,0
3750,20000,222326,5,35,3,19,1,0,0,0,0,0
132781,20000,289440,6,36,3,19,1,0,0,0,0,0
3158,20000,132493,9,89,6,53,1,0,0,0,0,0
132768,20000,100316,5,33,2,2,0,0,0,0,0,0
3676,20000,204846,33,18,3,6,0,0,0,0,0,0
1996,20000,154076,6,44,14,20,3,0,0,0,2,1
132737,20000,154076,6,44,14,20,3,0,0,0,2,1
2534,50000,1840573,80,332,17,66,4,0,0,0,0,0
4299,50000,1295714,3,26,7,4,0,0,0,0,0,0
5657,20000,100617,0,4,0,0,0,0,0,0,0,0
5499,50000,2360241,14,69,3,3,0,0,0,0,0,0
133157,20000,153075,0,21,0,0,0,0,0,0,0,0
5042,20000,381488,1,32,12,7,0,0,0,0,0,0
4282,20000,136828,0,4,0,0,0,0,0,0,0,0
5893,20000,226034,0,0,0,0,0,0,0,0,0,0
5493,30000,638090,0,10,2,2,0,0,0,0,0,0
5345,20000,222356,0,30,1,2,0,0,0,0,0,0
133205,20000,163000,2,8,0,0,0,0,0,0,0,0
4034,20000,106153,0,9,0,0,0,0,0,0,0,0
5000,20000,282673,1,11,3,2,0,0,0,0,0,0
4970,50000,4529500,7,24,3,3,0,0,0,0,0,0
4383,20000,308308,0,3,0,0,0,0,0,0,0,0
132856,20000,136828,0,3,0,0,0,0,0,0,0,0
4835,50000,2039200,4,27,21,1,0,0,0,0,0,0
132927,20000,108022,0,8,2,0,0,0,0,0,0,0
4935,50000,4840600,34,33,0,0,1,0,0,0,0,0
133094,20000,135631,0,7,0,0,0,0,0,0,0,0
4226,20000,196219,0,11,0,1,1,0,0,0,0,0
5276,20000,292190,2,8,3,2,0,0,0,0,0,0
6801,50000,1116513,0,0,0,0,1,0,0,0,0,0
6504,20000,313300,0,0,0,0,0,0,0,0,0,0
133381,20000,370000,0,0,0,0,0,0,0,0,0,0
6136,20000,240300,0,0,0,0,0,0,0,0,0,0
133384,20000,184900,0,0,0,0,0,0,0,0,0,0
6777,20000,185400,0,0,0,0,0,0,0,0,0,0
6588,20000,341200,0,0,0,0,0,0,0,0,0,0
6602,20000,127400,0,0,0,0,0,0,0,0,0,0
6619,20000,221106,1,14,3,0,0,0,0,0,0,0
133416,20000,114663,0,0,0,0,0,0,0,0,0,0
6389,20000,104518,11,25,1,0,0,0,0,0,0,0
6264,30000,696731,16,67,5,5,0,0,0,0,0,0
6680,20000,142486,1,26,1,0,0,0,0,0,0,0
6694,20000,164423,4,18,1,0,0,0,0,0,0,0
133464,20000,230000,0,0,0,0,0,0,0,0,0,0
6599,20000,230000,0,0,0,0,0,0,0,0,0,0
6737,20000,105457,0,0,0,0,0,0,0,0,0,0
133512,20000,400983,0,0,0,0,0,0,0,0,0,0
133510,50000,2840498,0,0,0,0,0,0,0,0,0,0
133523,50000,3920222,0,3,0,0,0,0,0,0,0,0
133471,20000,389411,0,0,0,0,0,0,0,0,0,0
133491,20000,253788,0,0,0,0,0,0,0,0,0,0
6903,20000,253788,0,0,0,0,0,0,0,0,0,0
133468,50000,10356500,1,0,0,0,0,0,0,0,0,0
133499,20000,206234,0,0,0,0,0,0,0,0,0,0
6132,20000,206234,0,0,0,0,0,0,0,0,0,0
133522,20000,112187,0,0,0,0,0,0,0,0,0,0
6946,20000,112187,0,0,0,0,0,0,0,0,0,0
133504,20000,167900,0,0,0,0,0,0,0,0,0,0
6090,20000,167900,0,0,0,0,0,0,0,0,0,0
133517,20000,243987,0,0,0,0,0,0,0,0,0,0
133486,50000,1342339,0,1,0,0,0,0,0,0,0,0
133463,20000,135724,0,0,0,0,0,0,0,0,0,0
133470,20000,258040,0,0,0,0,0,0,0,0,0,0
133494,20000,223622,0,0,0,0,0,0,0,0,0,0
6790,20000,281080,0,0,0,0,0,0,0,0,0,0
133501,20000,369138,0,0,0,0,0,0,0,0,0,0
