cityId,searchRadius,population,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
47104,50000,2291352,17,20,2,5,7,16,20,0,7,1,126,367,3,4,0,2,4,2,2,0,0,0,1,0,0,2,2,1,1,3
145131,20000,228509,3,5,0,0,2,8,7,0,1,0,44,225,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
47561,20000,202932,7,11,2,0,0,4,9,0,1,0,117,335,3,0,0,2,2,2,0,0,0,0,1,0,0,2,2,0,0,0
47236,20000,143015,0,6,0,2,11,0,1,0,1,2,9,41,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47359,20000,127334,0,2,0,0,0,0,2,0,0,0,7,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47028,50000,2069350,1,23,0,0,0,4,17,3,0,0,58,129,2,3,3,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1
47354,20000,112888,14,15,2,3,4,15,19,0,6,1,128,367,2,3,0,2,3,2,2,0,0,0,1,0,0,0,0,0,1,2
46984,20000,180460,0,0,0,0,0,0,0,0,0,0,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145150,20000,180460,0,0,0,0,0,0,0,0,0,0,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47691,30000,539548,3,2,1,2,6,0,0,0,0,0,24,27,1,0,0,0,0,0,0,1,0,0,0,0,0,9,9,1,0,0
46912,20000,232919,3,2,1,2,4,0,0,0,0,0,21,26,1,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0,0,0
47419,20000,466723,0,1,0,0,0,0,1,0,0,0,31,183,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47041,20000,161612,3,5,0,1,2,8,8,0,1,0,44,224,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
47211,20000,182145,14,12,1,4,4,14,18,0,6,1,107,387,2,4,0,1,1,2,2,0,0,0,1,0,0,0,0,0,1,2
48815,20000,101119,7,3,1,0,0,0,1,2,0,0,27,19,1,1,0,7,0,0,0,0,0,0,0,0,0,6,6,7,4,1
47349,20000,348118,8,9,4,1,2,3,4,3,3,0,22,33,3,6,0,6,0,0,1,2,0,0,0,0,0,7,7,6,5,1
48779,50000,1871242,7,32,0,1,0,8,9,1,0,0,286,85,1,1,0,0,2,1,0,0,0,0,0,0,0,17,17,0,0,0
48249,50000,1767200,7,32,0,1,0,8,9,1,0,0,288,85,1,1,0,0,2,1,0,0,0,0,0,0,0,17,17,0,0,0
48569,20000,193612,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145254,20000,193612,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48786,20000,221715,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48836,20000,472112,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
145246,20000,439614,3,1,0,0,0,0,1,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
48182,20000,107695,0,1,0,0,0,0,1,0,0,0,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48751,20000,280256,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,2,2,0,0,0
48115,20000,250770,6,8,0,1,0,5,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,14,1,0,0
48606,20000,187302,2,1,1,0,0,4,1,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0
48676,30000,664046,90,244,26,84,43,105,227,22,94,22,67,286,39,38,44,98,87,14,26,153,0,2,0,0,13,48,48,8,10,13
49759,20000,108652,28,31,1,4,6,7,13,4,5,3,34,48,3,5,6,6,6,1,1,14,1,0,0,0,0,74,74,2,3,0
48020,20000,140730,25,36,4,10,15,20,16,1,7,8,56,66,2,4,8,11,8,0,1,12,1,0,0,0,0,23,23,1,4,1
48509,20000,100641,73,213,23,82,38,138,207,18,85,22,65,300,34,38,42,86,58,13,24,141,0,2,0,0,11,30,30,5,8,11
48514,20000,144651,33,26,4,3,2,20,8,3,3,3,29,33,1,1,1,3,5,2,0,5,0,0,0,0,0,0,0,0,0,0
48332,20000,139981,73,219,25,82,41,133,240,23,55,21,59,298,35,38,44,92,82,14,25,149,0,2,0,0,12,19,19,6,7,11
47925,20000,163688,65,202,23,82,39,162,202,21,66,22,67,303,32,37,42,93,75,13,24,143,0,0,0,0,13,29,29,4,7,9
48740,20000,168034,52,12,3,3,11,30,13,2,4,2,62,69,6,1,2,6,5,1,0,22,0,0,0,0,0,13,13,0,3,1
48736,20000,354290,119,123,16,12,11,75,83,9,22,9,54,156,21,17,25,45,10,3,3,39,2,1,0,0,1,5,5,2,0,0
47981,20000,144449,13,13,1,1,4,6,19,3,3,5,29,43,1,0,8,5,1,0,0,36,0,0,0,1,0,22,22,0,1,0
49235,20000,125000,9,48,1,0,8,24,30,4,6,1,36,232,1,11,0,1,16,0,9,4,0,0,0,0,0,5,5,1,3,0
49390,20000,127170,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49157,20000,107193,6,5,0,1,1,0,4,0,0,0,3,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48979,20000,300000,9,4,0,0,1,1,3,0,0,0,3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,12,12,0,0,0
49565,20000,250675,4,7,0,0,0,1,2,2,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0
49685,20000,103165,2,6,0,0,0,0,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49622,20000,144932,4,9,1,3,0,3,8,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49473,50000,2450212,41,99,1,5,8,32,67,7,13,1,51,426,1,16,0,1,19,2,11,5,0,0,0,0,1,7,7,2,9,0
49213,20000,122483,3,3,0,0,0,3,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
49716,20000,103276,9,21,0,1,0,18,8,0,0,0,15,63,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
49079,50000,1300000,44,103,1,5,8,32,68,7,13,1,52,425,1,16,0,6,20,2,11,5,0,0,0,0,1,8,8,1,9,0
49210,20000,130754,3,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49672,20000,141455,14,66,1,4,2,21,57,7,11,0,50,364,1,11,0,1,9,2,4,1,0,0,0,0,0,5,5,1,2,0
48915,20000,106922,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
49206,20000,225000,14,13,1,0,0,4,8,2,1,0,29,78,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,0
49744,20000,193000,13,51,1,4,0,10,35,5,8,0,36,259,1,4,0,0,4,2,3,1,0,0,0,0,1,0,0,0,0,0
49696,20000,148344,3,7,0,0,0,1,2,2,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0
49186,20000,125471,2,5,1,2,0,0,1,1,0,0,3,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49147,20000,122194,9,55,1,4,0,14,47,7,10,0,45,285,1,6,0,0,2,2,2,1,0,0,0,0,0,5,5,1,2,0
49500,50000,1500000,42,104,1,5,8,32,67,8,13,1,58,419,1,16,0,2,19,2,11,5,0,0,0,0,1,7,7,2,10,0
49587,20000,395954,4,9,3,0,3,1,2,5,0,2,6,6,0,1,1,0,14,1,1,9,0,0,0,0,0,1,1,0,0,1
48894,20000,235017,36,15,2,1,1,2,8,2,1,0,33,122,3,1,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0
145999,30000,510456,15,24,0,2,0,2,15,0,0,0,39,86,0,2,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
146001,20000,120000,3,0,1,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49121,20000,120000,3,0,1,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146003,30000,850227,10,13,0,1,0,8,20,0,4,0,22,173,0,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
145966,20000,147369,3,6,0,0,0,1,5,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49307,20000,196856,4,1,0,0,0,1,3,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
49774,50000,1073824,21,25,0,2,0,3,20,0,1,0,45,104,0,2,0,0,0,0,0,0,0,0,0,0,0,11,11,0,1,0
48845,50000,1126534,14,13,0,1,0,9,21,0,4,0,24,175,0,4,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0
49014,20000,157615,3,6,0,0,0,0,4,0,0,0,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
146081,20000,108048,27,59,3,2,1,25,20,5,5,1,16,37,0,3,0,15,13,1,3,1,0,0,0,0,0,2,2,0,0,0
146066,20000,128624,25,55,2,4,1,13,46,2,5,0,21,49,0,8,1,2,3,0,6,0,0,1,0,0,0,26,26,0,0,0
146065,20000,178102,53,70,1,5,1,15,47,2,8,0,46,105,3,6,0,21,12,0,3,0,0,0,0,0,1,104,104,1,3,0
50482,20000,141172,24,54,2,5,1,13,46,2,5,0,20,49,0,8,1,3,3,0,7,0,0,1,0,0,0,26,26,0,0,0
49805,20000,178102,49,73,2,6,1,13,48,2,8,0,42,101,3,7,0,21,13,0,4,0,0,0,0,0,1,73,73,0,2,0
50238,30000,790017,78,180,12,6,22,113,260,8,28,36,47,155,2,10,22,12,8,2,1,8,0,0,0,0,1,38,38,4,4,0
146663,20000,153210,36,0,0,0,0,0,0,0,0,0,35,26,1,0,0,72,4,0,0,0,0,0,0,0,0,4,4,4,0,0
146662,20000,166890,11,1,0,0,0,3,1,0,0,0,8,8,0,0,0,1,1,0,0,0,0,0,0,0,0,42,42,8,0,0
146653,20000,272100,71,9,0,0,0,4,4,0,0,0,101,121,0,1,0,90,18,0,0,0,0,0,0,0,0,8,8,7,0,0
